character_id,variant,status
nono-yakushi,Orphanage Director,EXPANSION_DESIGN
nono-yakushi,Root Spy,EXPANSION_DESIGN
kosuke-maruboshi,Eternal Genin,EXPANSION_DESIGN
kosuke-maruboshi,Water Style Veteran,EXPANSION_DESIGN
mizuki,Academy Instructor,EXPANSION_DESIGN
mizuki,Cursed Power,EXPANSION_DESIGN
idate-morino,Runner,EXPANSION_DESIGN
idate-morino,Ninja Trainee,EXPANSION_DESIGN
temari,Chunin Exams,EXPANSION_DESIGN
temari,War Fan Master,EXPANSION_DESIGN
kankuro,Chunin Exams,EXPANSION_DESIGN
kankuro,Master Puppeteer,EXPANSION_DESIGN
ebizo,Sand Elder,EXPANSION_DESIGN
ebizo,Puppet Strategist,EXPANSION_DESIGN
pakura,Scorch Release,EXPANSION_DESIGN
pakura,Reanimated,EXPANSION_DESIGN
maki,Sealing Corps,EXPANSION_DESIGN
maki,War Arc,EXPANSION_DESIGN
baki,Sand Jonin,EXPANSION_DESIGN
baki,Wind Blade,EXPANSION_DESIGN
yashamaru,Sand Medic,EXPANSION_DESIGN
yashamaru,Assassin,EXPANSION_DESIGN
matsuri,Gaara Disciple,EXPANSION_DESIGN
matsuri,Sand Chunin,EXPANSION_DESIGN
sari,Sand Kunoichi,EXPANSION_DESIGN
sari,Kazekage Guard,EXPANSION_DESIGN
chojuro,Seven Swordsman,EXPANSION_DESIGN
chojuro,Hiramekarei Master,EXPANSION_DESIGN
ao,Byakugan Hunter,EXPANSION_DESIGN
ao,Sensor Captain,EXPANSION_DESIGN
mangetsu-hozuki,Seven Swordsman,EXPANSION_DESIGN
mangetsu-hozuki,Reanimated,EXPANSION_DESIGN
suigetsu-hozuki,Hebi,EXPANSION_DESIGN
suigetsu-hozuki,Taka,EXPANSION_DESIGN
fuguki-suikazan,Samehada Wielder,EXPANSION_DESIGN
fuguki-suikazan,Reanimated,EXPANSION_DESIGN
jinin-akebino,Kabutowari Wielder,EXPANSION_DESIGN
jinin-akebino,Reanimated,EXPANSION_DESIGN
jinpachi-munashi,Shibuki Wielder,EXPANSION_DESIGN
jinpachi-munashi,Reanimated,EXPANSION_DESIGN
kushimaru-kuriarare,Nuibari Wielder,EXPANSION_DESIGN
kushimaru-kuriarare,Reanimated,EXPANSION_DESIGN
ameyuri-ringo,Kiba Wielder,EXPANSION_DESIGN
ameyuri-ringo,Reanimated,EXPANSION_DESIGN
raiga-kurosuki,Kiba Wielder,EXPANSION_DESIGN
raiga-kurosuki,Lightning Burial,EXPANSION_DESIGN
byakuren,First Mizukage,EXPANSION_DESIGN
byakuren,Prime,EXPANSION_DESIGN
chukichi,Sensor Ninja,EXPANSION_DESIGN
chukichi,Reanimated,EXPANSION_DESIGN
a-fourth-raikage,Raikage,EXPANSION_DESIGN
a-fourth-raikage,Lightning Armor,EXPANSION_DESIGN
darui,Storm Release,EXPANSION_DESIGN
darui,Raikage Guard,EXPANSION_DESIGN
c,Sensor,EXPANSION_DESIGN
c,Raikage Guard,EXPANSION_DESIGN
omoi,Cloud Swordsman,EXPANSION_DESIGN
omoi,War Arc,EXPANSION_DESIGN
karui,Cloud Kunoichi,EXPANSION_DESIGN
karui,War Arc,EXPANSION_DESIGN
samui,Cloud Jonin,EXPANSION_DESIGN
samui,War Arc,EXPANSION_DESIGN
atsui,Cloud Ninja,EXPANSION_DESIGN
atsui,War Arc,EXPANSION_DESIGN
dodai,Lava Rubber Style,EXPANSION_DESIGN
dodai,Third Raikage Aide,EXPANSION_DESIGN
mabui,Raikage Secretary,EXPANSION_DESIGN
mabui,Heavenly Transfer,EXPANSION_DESIGN
toroi,Magnet Release,EXPANSION_DESIGN
toroi,Reanimated,EXPANSION_DESIGN
blue-b,Eight-Tails Host,EXPANSION_DESIGN
blue-b,Jinchuriki Cloak,EXPANSION_DESIGN
motoi,Cloud Jonin,EXPANSION_DESIGN
motoi,Jinchuriki Handler,EXPANSION_DESIGN
first-raikage,First Raikage,EXPANSION_DESIGN
first-raikage,Prime,EXPANSION_DESIGN
second-raikage,Second Raikage,EXPANSION_DESIGN
second-raikage,Prime,EXPANSION_DESIGN
onoki,Tsuchikage,EXPANSION_DESIGN
onoki,Particle Style,EXPANSION_DESIGN
kurotsuchi,Lava Release,EXPANSION_DESIGN
kurotsuchi,Tsuchikage Guard,EXPANSION_DESIGN
akatsuchi,Stone Golem,EXPANSION_DESIGN
akatsuchi,Tsuchikage Guard,EXPANSION_DESIGN
kitsuchi,Earth Commander,EXPANSION_DESIGN
kitsuchi,Mountain Jutsu,EXPANSION_DESIGN
gari,Explosion Release,EXPANSION_DESIGN
gari,Reanimated,EXPANSION_DESIGN
ishikawa,First Tsuchikage,EXPANSION_DESIGN
ishikawa,Prime,EXPANSION_DESIGN
kakko,Stone Jonin,EXPANSION_DESIGN
kakko,Kannabi Bridge,EXPANSION_DESIGN
taiseki,Stone Jonin,EXPANSION_DESIGN
taiseki,Camouflage,EXPANSION_DESIGN
mahiru,Stone Jonin,EXPANSION_DESIGN
mahiru,Shadow Clone,EXPANSION_DESIGN
yahiko,Akatsuki Founder,EXPANSION_DESIGN
yahiko,Amegakure Leader,EXPANSION_DESIGN
ajisai,Rain Kunoichi,EXPANSION_DESIGN
ajisai,Animal Path Vessel,EXPANSION_DESIGN
shigure,Rain Genin,EXPANSION_DESIGN
shigure,Umbrella Needles,EXPANSION_DESIGN
baiu,Rain Genin,EXPANSION_DESIGN
baiu,Senbon Assault,EXPANSION_DESIGN
midare,Rain Genin,EXPANSION_DESIGN
midare,Umbrella Barrage,EXPANSION_DESIGN
oboro,Rain Genin,EXPANSION_DESIGN
oboro,Clone Ambush,EXPANSION_DESIGN
mubi,Rain Genin,EXPANSION_DESIGN
mubi,Earth Ambush,EXPANSION_DESIGN
kagari,Rain Genin,EXPANSION_DESIGN
kagari,Mist Ambush,EXPANSION_DESIGN
jugo,Curse Mark Base,EXPANSION_DESIGN
jugo,Sage Transformation,EXPANSION_DESIGN
karin,Hebi Sensor,EXPANSION_DESIGN
karin,Taka Healer,EXPANSION_DESIGN
tayuya,Sound Four,EXPANSION_DESIGN
tayuya,Curse Mark Level 2,EXPANSION_DESIGN
kidomaru,Sound Four,EXPANSION_DESIGN
kidomaru,Curse Mark Level 2,EXPANSION_DESIGN
sakon,Sound Four,EXPANSION_DESIGN
sakon,Curse Mark Level 2,EXPANSION_DESIGN
ukon,Sound Four,EXPANSION_DESIGN
ukon,Curse Mark Level 2,EXPANSION_DESIGN
jirobo,Sound Four,EXPANSION_DESIGN
jirobo,Curse Mark Level 2,EXPANSION_DESIGN
dosu-kinuta,Sound Genin,EXPANSION_DESIGN
dosu-kinuta,Resonating Echo,EXPANSION_DESIGN
kin-tsuchi,Sound Genin,EXPANSION_DESIGN
kin-tsuchi,Bell Genjutsu,EXPANSION_DESIGN
zaku-abumi,Sound Genin,EXPANSION_DESIGN
zaku-abumi,Air Pressure Arms,EXPANSION_DESIGN
guren,Crystal Release,EXPANSION_DESIGN
guren,Three-Tails Mission,EXPANSION_DESIGN
yoroi-akado,Chakra Absorption,EXPANSION_DESIGN
yoroi-akado,Kabuto Squad,EXPANSION_DESIGN
misumi-tsurugi,Soft Physique,EXPANSION_DESIGN
misumi-tsurugi,Kabuto Squad,EXPANSION_DESIGN
black-zetsu,Akatsuki Spy,EXPANSION_DESIGN
black-zetsu,Kaguya Will,EXPANSION_DESIGN
white-zetsu,Akatsuki Scout,EXPANSION_DESIGN
white-zetsu,Spore Clone,EXPANSION_DESIGN
bunpuku,Shukaku Host,EXPANSION_DESIGN
bunpuku,Monk Sage,EXPANSION_DESIGN
mito-uzumaki,First Jinchuriki,EXPANSION_DESIGN
mito-uzumaki,Uzumaki Seal Master,EXPANSION_DESIGN
kinkaku,Gold Brother,EXPANSION_DESIGN
kinkaku,Nine-Tails Cloak,EXPANSION_DESIGN
ginkaku,Silver Brother,EXPANSION_DESIGN
ginkaku,Nine-Tails Cloak,EXPANSION_DESIGN
mifune,Samurai General,EXPANSION_DESIGN
mifune,Iaido Master,EXPANSION_DESIGN
okisuke,Samurai Captain,EXPANSION_DESIGN
okisuke,War Arc,EXPANSION_DESIGN
gamabunta,Toad Boss,EXPANSION_DESIGN
gamabunta,Gamabunta Battle,EXPANSION_DESIGN
gamakichi,Young Toad,EXPANSION_DESIGN
gamakichi,War Arc Toad,EXPANSION_DESIGN
fukasaku,Toad Sage,EXPANSION_DESIGN
fukasaku,Sage Training,EXPANSION_DESIGN
shima,Toad Sage,EXPANSION_DESIGN
shima,Genjutsu Chorus,EXPANSION_DESIGN
manda,Great Snake,EXPANSION_DESIGN
manda,Orochimaru Summon,EXPANSION_DESIGN
aoda,Great Snake,EXPANSION_DESIGN
aoda,Sasuke Summon,EXPANSION_DESIGN
katsuyu,Slug Queen,EXPANSION_DESIGN
katsuyu,Hundred Healings Support,EXPANSION_DESIGN
enma,Monkey King,EXPANSION_DESIGN
enma,Adamantine Staff,EXPANSION_DESIGN
sora,Temple Monk,EXPANSION_DESIGN
sora,Pseudo Jinchuriki,EXPANSION_DESIGN
menma-uzumaki,Masked Menma,EXPANSION_DESIGN
menma-uzumaki,Nine-Tails Menma,EXPANSION_DESIGN
hiruko,Missing Nin,EXPANSION_DESIGN
hiruko,Chimera Technique,EXPANSION_DESIGN
mukade,Suna Missing Nin,EXPANSION_DESIGN
mukade,Ryumyaku Empowered,EXPANSION_DESIGN
shinno,Doctor,EXPANSION_DESIGN
shinno,Eight Gates Body,EXPANSION_DESIGN
gozu,Demon Brothers,EXPANSION_DESIGN
gozu,Chain Gauntlet,EXPANSION_DESIGN
meizu,Demon Brothers,EXPANSION_DESIGN
meizu,Chain Gauntlet,EXPANSION_DESIGN
fuen,Four-Man Team,EXPANSION_DESIGN
fuen,Barrier Specialist,EXPANSION_DESIGN
fudo,Four-Man Team,EXPANSION_DESIGN
fudo,Earth Body,EXPANSION_DESIGN
fuka,Four-Man Team,EXPANSION_DESIGN
fuka,Elemental Kiss,EXPANSION_DESIGN
