awakening_id,hero_id,base_form_id,awakened_form_id,name_en,name_vi,unlock_level,unlock_rank,awakening_skill_id,stat_modifier_profile,base_model,awakened_model,base_portrait,awakened_portrait,awakening_animation,awakening_vfx,awakening_sfx,canon_source,canon_confidence,status
awakening-indra-base,indra-base,form-indra-otsutsuki-base,form-indra-otsutsuki-susanoo,Susanoo Indra,Susanoo Indra,60,KAGE,awaken-skill-indra-base,awakening-balanced-v1,hero/indra-base/base/prefab,hero/indra-base/awakened/prefab,hero/indra-base/base/portrait,hero/indra-base/awakened/portrait,animation/indra-base/awakening-transition,vfx/indra-base/awakening-transition,sfx/indra-base/awakening-transition,https://naruto.fandom.com/wiki/Indra_%C5%8Ctsutsuki,ANIME_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-itachi-akatsuki,itachi-akatsuki,form-itachi-uchiha-akatsuki,form-itachi-uchiha-susanoo,Susanoo Itachi,Susanoo Itachi,60,KAGE,awaken-skill-itachi-akatsuki,awakening-balanced-v1,hero/itachi-akatsuki/base/prefab,hero/itachi-akatsuki/awakened/prefab,hero/itachi-akatsuki/base/portrait,hero/itachi-akatsuki/awakened/portrait,animation/itachi-akatsuki/awakening-transition,vfx/itachi-akatsuki/awakening-transition,sfx/itachi-akatsuki/awakening-transition,https://naruto.fandom.com/wiki/Itachi_Uchiha,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-itachi-anbu,itachi-anbu,form-itachi-uchiha-anbu,form-itachi-uchiha-mangekyo,Mangekyo Itachi,Mangekyo Itachi,60,KAGE,awaken-skill-itachi-anbu,awakening-balanced-v1,hero/itachi-anbu/base/prefab,hero/itachi-anbu/awakened/prefab,hero/itachi-anbu/base/portrait,hero/itachi-anbu/awakened/portrait,animation/itachi-anbu/awakening-transition,vfx/itachi-anbu/awakening-transition,sfx/itachi-anbu/awakening-transition,https://naruto.fandom.com/wiki/Itachi_Uchiha,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-izuna-uchiha-core,izuna-uchiha-core,form-izuna-uchiha-warring-states,form-izuna-uchiha-mangekyo-sharingan,Mangekyo Sharingan,Mangekyo Sharingan,60,KAGE,awaken-skill-izuna-uchiha-core,awakening-balanced-v1,hero/izuna-uchiha-core/base/prefab,hero/izuna-uchiha-core/awakened/prefab,hero/izuna-uchiha-core/base/portrait,hero/izuna-uchiha-core/awakened/portrait,animation/izuna-uchiha-core/awakening-transition,vfx/izuna-uchiha-core/awakening-transition,sfx/izuna-uchiha-core/awakening-transition,current variant census; current kit seed=sasuke,DESIGN_INTERPRETATION,PLAYABLE_SCHEMA_BASELINE
awakening-jirobo-base,jirobo-base,form-jirobo-sound-four,form-jirobo-curse-mark-level-2,Curse Mark Level 2,Curse Mark Level 2,60,KAGE,awaken-skill-jirobo-base,awakening-balanced-v1,hero/jirobo-base/base/prefab,hero/jirobo-base/awakened/prefab,hero/jirobo-base/base/portrait,hero/jirobo-base/awakened/portrait,animation/jirobo-base/awakening-transition,vfx/jirobo-base/awakening-transition,sfx/jirobo-base/awakening-transition,https://naruto.fandom.com/wiki/Cursed_Seal,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-jugo-base,jugo-base,form-jugo-curse-mark-base,form-jugo-sage-transformation,Sage Transformation,Sage Transformation,60,KAGE,awaken-skill-jugo-base,awakening-balanced-v1,hero/jugo-base/base/prefab,hero/jugo-base/awakened/prefab,hero/jugo-base/base/portrait,hero/jugo-base/awakened/portrait,animation/jugo-base/awakening-transition,vfx/jugo-base/awakening-transition,sfx/jugo-base/awakening-transition,https://naruto.fandom.com/wiki/J%C5%ABgo,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-kabuto-shippuden,kabuto-shippuden,form-kabuto-yakushi-shippuden,form-kabuto-yakushi-snake-sage,Snake Sage Kabuto,Snake Sage Kabuto,60,KAGE,awaken-skill-kabuto-shippuden,awakening-balanced-v1,hero/kabuto-shippuden/base/prefab,hero/kabuto-shippuden/awakened/prefab,hero/kabuto-shippuden/base/portrait,hero/kabuto-shippuden/awakened/portrait,animation/kabuto-shippuden/awakening-transition,vfx/kabuto-shippuden/awakening-transition,sfx/kabuto-shippuden/awakening-transition,https://naruto.fandom.com/wiki/Kabuto_Yakushi,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-kaguya-base,kaguya-base,form-kaguya-otsutsuki-base,form-kaguya-otsutsuki-rabbit-goddess,Rabbit Goddess,Rabbit Goddess,60,KAGE,awaken-skill-kaguya-base,awakening-balanced-v1,hero/kaguya-base/base/prefab,hero/kaguya-base/awakened/prefab,hero/kaguya-base/base/portrait,hero/kaguya-base/awakened/portrait,animation/kaguya-base/awakening-transition,vfx/kaguya-base/awakening-transition,sfx/kaguya-base/awakening-transition,https://naruto.fandom.com/wiki/Kaguya_%C5%8Ctsutsuki,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-kakashi-war,kakashi-war,form-kakashi-hatake-mangekyo-sharingan,form-kakashi-hatake-double-mangekyo,Double Mangekyo Kakashi,Double Mangekyo Kakashi,60,KAGE,awaken-skill-kakashi-war,awakening-balanced-v1,hero/kakashi-war/base/prefab,hero/kakashi-war/awakened/prefab,hero/kakashi-war/base/portrait,hero/kakashi-war/awakened/portrait,animation/kakashi-war/awakening-transition,vfx/kakashi-war/awakening-transition,sfx/kakashi-war/awakening-transition,https://naruto.fandom.com/wiki/Kakashi_Hatake,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-kakashi-young,kakashi-young,form-kakashi-hatake-young,form-kakashi-hatake-sharingan,Sharingan Kakashi,Sharingan Kakashi,60,KAGE,awaken-skill-kakashi-young,awakening-balanced-v1,hero/kakashi-young/base/prefab,hero/kakashi-young/awakened/prefab,hero/kakashi-young/base/portrait,hero/kakashi-young/awakened/portrait,animation/kakashi-young/awakening-transition,vfx/kakashi-young/awakening-transition,sfx/kakashi-young/awakening-transition,https://naruto.fandom.com/wiki/Kakashi_Hatake,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-kakuzu-akatsuki,kakuzu-akatsuki,form-kakuzu-akatsuki,form-kakuzu-earth-grudge-fear,Earth Grudge Fear Released,Earth Grudge Fear Released,60,KAGE,awaken-skill-kakuzu-akatsuki,awakening-balanced-v1,hero/kakuzu-akatsuki/base/prefab,hero/kakuzu-akatsuki/awakened/prefab,hero/kakuzu-akatsuki/base/portrait,hero/kakuzu-akatsuki/awakened/portrait,animation/kakuzu-akatsuki/awakening-transition,vfx/kakuzu-akatsuki/awakening-transition,sfx/kakuzu-akatsuki/awakening-transition,https://naruto.fandom.com/wiki/Kakuzu,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-kidomaru-base,kidomaru-base,form-kidomaru-sound-four,form-kidomaru-curse-mark-level-2,Curse Mark Level 2,Curse Mark Level 2,60,KAGE,awaken-skill-kidomaru-base,awakening-balanced-v1,hero/kidomaru-base/base/prefab,hero/kidomaru-base/awakened/prefab,hero/kidomaru-base/base/portrait,hero/kidomaru-base/awakened/portrait,animation/kidomaru-base/awakening-transition,vfx/kidomaru-base/awakening-transition,sfx/kidomaru-base/awakening-transition,https://naruto.fandom.com/wiki/Cursed_Seal,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-killer-b-base,killer-b-base,form-killer-b-base,form-killer-b-eight-tails-cloak,Eight-Tails Cloak,Eight-Tails Cloak,60,KAGE,awaken-skill-killer-b-base,awakening-balanced-v1,hero/killer-b-base/base/prefab,hero/killer-b-base/awakened/prefab,hero/killer-b-base/base/portrait,hero/killer-b-base/awakened/portrait,animation/killer-b-base/awakening-transition,vfx/killer-b-base/awakening-transition,sfx/killer-b-base/awakening-transition,https://naruto.fandom.com/wiki/Jinch%C5%ABriki_Forms,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-kimimaro-base,kimimaro-base,form-kimimaro-base,form-kimimaro-curse-mark-level-2,Curse Mark Level 2,Curse Mark Level 2,60,KAGE,awaken-skill-kimimaro-base,awakening-balanced-v1,hero/kimimaro-base/base/prefab,hero/kimimaro-base/awakened/prefab,hero/kimimaro-base/base/portrait,hero/kimimaro-base/awakened/portrait,animation/kimimaro-base/awakening-transition,vfx/kimimaro-base/awakening-transition,sfx/kimimaro-base/awakening-transition,https://naruto.fandom.com/wiki/Kimimaro,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-kinkaku-base,kinkaku-base,form-kinkaku-gold-brother,form-kinkaku-nine-tails-cloak,Nine-Tails Cloak,Nine-Tails Cloak,60,KAGE,awaken-skill-kinkaku-base,awakening-balanced-v1,hero/kinkaku-base/base/prefab,hero/kinkaku-base/awakened/prefab,hero/kinkaku-base/base/portrait,hero/kinkaku-base/awakened/portrait,animation/kinkaku-base/awakening-transition,vfx/kinkaku-base/awakening-transition,sfx/kinkaku-base/awakening-transition,https://naruto.fandom.com/wiki/Kinkaku,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-kisame-akatsuki,kisame-akatsuki,form-kisame-hoshigaki-akatsuki,form-kisame-hoshigaki-samehada-fusion,Samehada Fusion,Samehada Fusion,60,KAGE,awaken-skill-kisame-akatsuki,awakening-balanced-v1,hero/kisame-akatsuki/base/prefab,hero/kisame-akatsuki/awakened/prefab,hero/kisame-akatsuki/base/portrait,hero/kisame-akatsuki/awakened/portrait,animation/kisame-akatsuki/awakening-transition,vfx/kisame-akatsuki/awakening-transition,sfx/kisame-akatsuki/awakening-transition,https://naruto.fandom.com/wiki/Kisame_Hoshigaki,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-konan-akatsuki,konan-akatsuki,form-konan-akatsuki,form-konan-paper-angel,Paper Angel Konan,Paper Angel Konan,60,KAGE,awaken-skill-konan-akatsuki,awakening-balanced-v1,hero/konan-akatsuki/base/prefab,hero/konan-akatsuki/awakened/prefab,hero/konan-akatsuki/base/portrait,hero/konan-akatsuki/awakened/portrait,animation/konan-akatsuki/awakening-transition,vfx/konan-akatsuki/awakening-transition,sfx/konan-akatsuki/awakening-transition,https://naruto.fandom.com/wiki/Konan,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-madara-rinnegan,madara-rinnegan,form-madara-uchiha-rinnegan,form-madara-uchiha-ten-tails-jinchuriki,Ten-Tails Madara,Ten-Tails Madara,60,KAGE,awaken-skill-madara-rinnegan,awakening-balanced-v1,hero/madara-rinnegan/base/prefab,hero/madara-rinnegan/awakened/prefab,hero/madara-rinnegan/base/portrait,hero/madara-rinnegan/awakened/portrait,animation/madara-rinnegan/awakening-transition,vfx/madara-rinnegan/awakening-transition,sfx/madara-rinnegan/awakening-transition,https://naruto.fandom.com/wiki/Madara_Uchiha,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-menma-base,menma-base,form-menma-uzumaki-masked-menma,form-menma-uzumaki-nine-tails-menma,Nine-Tails Menma,Nine-Tails Menma,60,KAGE,awaken-skill-menma-base,awakening-balanced-v1,hero/menma-base/base/prefab,hero/menma-base/awakened/prefab,hero/menma-base/base/portrait,hero/menma-base/awakened/portrait,animation/menma-base/awakening-transition,vfx/menma-base/awakening-transition,sfx/menma-base/awakening-transition,https://naruto.fandom.com/wiki/Menma_Uzumaki,OFFICIAL_MOVIE,PLAYABLE_SCHEMA_BASELINE
awakening-might-duy-base,might-duy-base,form-might-duy-eternal-genin,form-might-duy-eight-gates,Eight Gates Released Formation,Eight Gates Released Formation,60,KAGE,awaken-skill-might-duy-base,awakening-balanced-v1,hero/might-duy-base/base/prefab,hero/might-duy-base/awakened/prefab,hero/might-duy-base/base/portrait,hero/might-duy-base/awakened/portrait,animation/might-duy-base/awakening-transition,vfx/might-duy-base/awakening-transition,sfx/might-duy-base/awakening-transition,https://naruto.fandom.com/wiki/Eight_Gates,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-might-guy-base,might-guy-base,form-might-guy-base,form-might-guy-eighth-gate,Eight Gates Released Formation,Eight Gates Released Formation,60,KAGE,awaken-skill-might-guy-base,awakening-balanced-v1,hero/might-guy-base/base/prefab,hero/might-guy-base/awakened/prefab,hero/might-guy-base/base/portrait,hero/might-guy-base/awakened/portrait,animation/might-guy-base/awakening-transition,vfx/might-guy-base/awakening-transition,sfx/might-guy-base/awakening-transition,https://naruto.fandom.com/wiki/Eight_Gates,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-minato-edo,minato-edo,form-minato-namikaze-edo-tensei,form-minato-namikaze-kcm,KCM Minato,KCM Minato,60,KAGE,awaken-skill-minato-edo,awakening-balanced-v1,hero/minato-edo/base/prefab,hero/minato-edo/awakened/prefab,hero/minato-edo/base/portrait,hero/minato-edo/awakened/portrait,animation/minato-edo/awakening-transition,vfx/minato-edo/awakening-transition,sfx/minato-edo/awakening-transition,https://naruto.fandom.com/wiki/Minato_Namikaze,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-mizuki-core,mizuki-core,form-mizuki-academy-instructor,form-mizuki-cursed-power,Cursed Power,Cursed Power,60,KAGE,awaken-skill-mizuki-core,awakening-balanced-v1,hero/mizuki-core/base/prefab,hero/mizuki-core/awakened/prefab,hero/mizuki-core/base/portrait,hero/mizuki-core/awakened/portrait,animation/mizuki-core/awakening-transition,vfx/mizuki-core/awakening-transition,sfx/mizuki-core/awakening-transition,current variant census; current kit seed=taijutsu,DESIGN_INTERPRETATION,PLAYABLE_SCHEMA_BASELINE
awakening-mukade-base,mukade-base,form-mukade-suna-missing-nin,form-mukade-ryumyaku-empowered,Ryumyaku Empowered Mukade,Ryumyaku Empowered Mukade,60,KAGE,awaken-skill-mukade-base,awakening-balanced-v1,hero/mukade-base/base/prefab,hero/mukade-base/awakened/prefab,hero/mukade-base/base/portrait,hero/mukade-base/awakened/portrait,animation/mukade-base/awakening-transition,vfx/mukade-base/awakening-transition,sfx/mukade-base/awakening-transition,https://naruto.fandom.com/wiki/Mukade,OFFICIAL_MOVIE,PLAYABLE_SCHEMA_BASELINE
awakening-naruto-genin,naruto-genin,form-naruto-uzumaki-genin,form-naruto-uzumaki-one-tail-cloak,One-Tail Naruto,One-Tail Naruto,60,KAGE,awaken-skill-naruto-genin,awakening-balanced-v1,hero/naruto-genin/base/prefab,hero/naruto-genin/awakened/prefab,hero/naruto-genin/base/portrait,hero/naruto-genin/awakened/portrait,animation/naruto-genin/awakening-transition,vfx/naruto-genin/awakening-transition,sfx/naruto-genin/awakening-transition,https://naruto.fandom.com/wiki/Naruto_Uzumaki,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-naruto-hokage,naruto-hokage,form-naruto-uzumaki-hokage,form-naruto-uzumaki-baryon-mode,Baryon Mode,Baryon Mode,60,KAGE,awaken-skill-naruto-hokage,awakening-balanced-v1,hero/naruto-hokage/base/prefab,hero/naruto-hokage/awakened/prefab,hero/naruto-hokage/base/portrait,hero/naruto-hokage/awakened/portrait,animation/naruto-hokage/awakening-transition,vfx/naruto-hokage/awakening-transition,sfx/naruto-hokage/awakening-transition,https://naruto.fandom.com/wiki/Naruto_Uzumaki,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-naruto-sage,naruto-sage,form-naruto-uzumaki-sage-mode,form-naruto-uzumaki-kcm2,Kurama Link Naruto,Kurama Link Naruto,60,KAGE,awaken-skill-naruto-sage,awakening-balanced-v1,hero/naruto-sage/base/prefab,hero/naruto-sage/awakened/prefab,hero/naruto-sage/base/portrait,hero/naruto-sage/awakened/portrait,animation/naruto-sage/awakening-transition,vfx/naruto-sage/awakening-transition,sfx/naruto-sage/awakening-transition,https://naruto.fandom.com/wiki/Naruto_Uzumaki;https://naruto.fandom.com/wiki/Sage_Mode,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-naruto-six-paths,naruto-six-paths,form-naruto-uzumaki-six-paths-sage-mode,form-naruto-uzumaki-asura-kurama-mode,Asura Kurama Mode,Asura Kurama Mode,60,KAGE,awaken-skill-naruto-six-paths,awakening-balanced-v1,hero/naruto-six-paths/base/prefab,hero/naruto-six-paths/awakened/prefab,hero/naruto-six-paths/base/portrait,hero/naruto-six-paths/awakened/portrait,animation/naruto-six-paths/awakening-transition,vfx/naruto-six-paths/awakening-transition,sfx/naruto-six-paths/awakening-transition,https://naruto.fandom.com/wiki/Naruto_Uzumaki,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-obito-white-mask,obito-white-mask,form-obito-uchiha-white-mask,form-obito-uchiha-ten-tails-jinchuriki,Ten-Tails Obito,Ten-Tails Obito,60,KAGE,awaken-skill-obito-white-mask,awakening-balanced-v1,hero/obito-white-mask/base/prefab,hero/obito-white-mask/awakened/prefab,hero/obito-white-mask/base/portrait,hero/obito-white-mask/awakened/portrait,animation/obito-white-mask/awakening-transition,vfx/obito-white-mask/awakening-transition,sfx/obito-white-mask/awakening-transition,https://naruto.fandom.com/wiki/Obito_Uchiha,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-obito-young,obito-young,form-obito-uchiha-young,form-obito-uchiha-mangekyo,Mangekyo Obito,Mangekyo Obito,60,KAGE,awaken-skill-obito-young,awakening-balanced-v1,hero/obito-young/base/prefab,hero/obito-young/awakened/prefab,hero/obito-young/base/portrait,hero/obito-young/awakened/portrait,animation/obito-young/awakening-transition,vfx/obito-young/awakening-transition,sfx/obito-young/awakening-transition,https://naruto.fandom.com/wiki/Obito_Uchiha,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-orochimaru-sannin,orochimaru-sannin,form-orochimaru-sannin,form-orochimaru-white-snake,White Snake Orochimaru,White Snake Orochimaru,60,KAGE,awaken-skill-orochimaru-sannin,awakening-balanced-v1,hero/orochimaru-sannin/base/prefab,hero/orochimaru-sannin/awakened/prefab,hero/orochimaru-sannin/base/portrait,hero/orochimaru-sannin/awakened/portrait,animation/orochimaru-sannin/awakening-transition,vfx/orochimaru-sannin/awakening-transition,sfx/orochimaru-sannin/awakening-transition,https://naruto.fandom.com/wiki/Orochimaru,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-rock-lee-genin,rock-lee-genin,form-rock-lee-genin,form-rock-lee-fifth-gate,Fifth Gate Lee,Fifth Gate Lee,60,KAGE,awaken-skill-rock-lee-genin,awakening-balanced-v1,hero/rock-lee-genin/base/prefab,hero/rock-lee-genin/awakened/prefab,hero/rock-lee-genin/base/portrait,hero/rock-lee-genin/awakened/portrait,animation/rock-lee-genin/awakening-transition,vfx/rock-lee-genin/awakening-transition,sfx/rock-lee-genin/awakening-transition,https://naruto.fandom.com/wiki/Eight_Gates,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-rock-lee-shippuden,rock-lee-shippuden,form-rock-lee-shippuden,form-rock-lee-sixth-gate,Sixth Gate Lee,Sixth Gate Lee,60,KAGE,awaken-skill-rock-lee-shippuden,awakening-balanced-v1,hero/rock-lee-shippuden/base/prefab,hero/rock-lee-shippuden/awakened/prefab,hero/rock-lee-shippuden/base/portrait,hero/rock-lee-shippuden/awakened/portrait,animation/rock-lee-shippuden/awakening-transition,vfx/rock-lee-shippuden/awakening-transition,sfx/rock-lee-shippuden/awakening-transition,https://naruto.fandom.com/wiki/Eight_Gates,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-roshi-base,roshi-base,form-roshi-base,form-roshi-four-tails-cloak,Four-Tails Cloak,Four-Tails Cloak,60,KAGE,awaken-skill-roshi-base,awakening-balanced-v1,hero/roshi-base/base/prefab,hero/roshi-base/awakened/prefab,hero/roshi-base/base/portrait,hero/roshi-base/awakened/portrait,animation/roshi-base/awakening-transition,vfx/roshi-base/awakening-transition,sfx/roshi-base/awakening-transition,https://naruto.fandom.com/wiki/Jinch%C5%ABriki_Forms,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-sakon-base,sakon-base,form-sakon-sound-four,form-sakon-curse-mark-level-2,Curse Mark Level 2,Curse Mark Level 2,60,KAGE,awaken-skill-sakon-base,awakening-balanced-v1,hero/sakon-base/base/prefab,hero/sakon-base/awakened/prefab,hero/sakon-base/base/portrait,hero/sakon-base/awakened/portrait,animation/sakon-base/awakening-transition,vfx/sakon-base/awakening-transition,sfx/sakon-base/awakening-transition,https://naruto.fandom.com/wiki/Cursed_Seal,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-sakura-shippuden,sakura-shippuden,form-sakura-haruno-shippuden,form-sakura-haruno-byakugo,Byakugo Sakura,Byakugo Sakura,60,KAGE,awaken-skill-sakura-shippuden,awakening-balanced-v1,hero/sakura-shippuden/base/prefab,hero/sakura-shippuden/awakened/prefab,hero/sakura-shippuden/base/portrait,hero/sakura-shippuden/awakened/portrait,animation/sakura-shippuden/awakening-transition,vfx/sakura-shippuden/awakening-transition,sfx/sakura-shippuden/awakening-transition,https://naruto.fandom.com/wiki/Sakura_Haruno,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
