awakening_id,hero_id,body_change,face_change,eye_change,hair_change,clothing_change,armor_change,weapon_change,aura_change,chakra_change,summon_change,transition_start,transition_mid,transition_end,idle_animation,movement_animation,basic_vfx_modifier,skill1_vfx_modifier,skill2_vfx_modifier,ultimate_vfx_modifier,awakening_skill_vfx,camera_sequence,screen_effect,sfx_description,reference_source,status
awakening-hashirama-hokage,hashirama-hokage,Persistent silhouette changes from base hero to Sage Hashirama.,Use canon-appropriate face markings/features for Sage Hashirama; NONE where canon shows no change.,Use canon-appropriate eye/dojutsu state for Sage Hashirama; NONE where not applicable.,Preserve canonical hair unless the awakened form visibly changes it.,Use canonical clothing/form treatment for Sage Hashirama.,Use canonical armor/avatar layer for Sage Hashirama; NONE when not applicable.,Use canonical weapon state for Sage Hashirama; NONE when not applicable.,Distinct awakened aura profile: aura/hashirama-hokage/awakened,Distinct chakra/material profile: chakra/hashirama-hokage/awakened,Form-specific summon/avatar layer for Sage Hashirama; NONE when not canonically applicable.,client-unity/Assets/GameContent/Heroes/hashirama-hokage/Awakened/Transition/Start,client-unity/Assets/GameContent/Heroes/hashirama-hokage/Awakened/Transition/Mid,client-unity/Assets/GameContent/Heroes/hashirama-hokage/Awakened/Transition/End,client-unity/Assets/GameContent/Heroes/hashirama-hokage/Awakened/Animations/Idle,client-unity/Assets/GameContent/Heroes/hashirama-hokage/Awakened/Animations/Move,vfx/hashirama-hokage/awakened/basic,vfx/hashirama-hokage/awakened/skill1,vfx/hashirama-hokage/awakened/skill2,vfx/hashirama-hokage/awakened/ultimate,vfx/hashirama-hokage/awakened/awakening-skill,camera/hashirama-hokage/awakening,screenfx/hashirama-hokage/awakening,Unique transition and form aura SFX for Sage Hashirama.,https://naruto.fandom.com/wiki/Hashirama_Senju,ASSET_SPEC_PENDING_PRODUCTION
awakening-indra-base,indra-base,Persistent silhouette changes from base hero to Susanoo Indra.,Use canon-appropriate face markings/features for Susanoo Indra; NONE where canon shows no change.,Use canon-appropriate eye/dojutsu state for Susanoo Indra; NONE where not applicable.,Preserve canonical hair unless the awakened form visibly changes it.,Use canonical clothing/form treatment for Susanoo Indra.,Use canonical armor/avatar layer for Susanoo Indra; NONE when not applicable.,Use canonical weapon state for Susanoo Indra; NONE when not applicable.,Distinct awakened aura profile: aura/indra-base/awakened,Distinct chakra/material profile: chakra/indra-base/awakened,Form-specific summon/avatar layer for Susanoo Indra; NONE when not canonically applicable.,client-unity/Assets/GameContent/Heroes/indra-base/Awakened/Transition/Start,client-unity/Assets/GameContent/Heroes/indra-base/Awakened/Transition/Mid,client-unity/Assets/GameContent/Heroes/indra-base/Awakened/Transition/End,client-unity/Assets/GameContent/Heroes/indra-base/Awakened/Animations/Idle,client-unity/Assets/GameContent/Heroes/indra-base/Awakened/Animations/Move,vfx/indra-base/awakened/basic,vfx/indra-base/awakened/skill1,vfx/indra-base/awakened/skill2,vfx/indra-base/awakened/ultimate,vfx/indra-base/awakened/awakening-skill,camera/indra-base/awakening,screenfx/indra-base/awakening,Unique transition and form aura SFX for Susanoo Indra.,https://naruto.fandom.com/wiki/Indra_%C5%8Ctsutsuki,ASSET_SPEC_PENDING_PRODUCTION
awakening-itachi-akatsuki,itachi-akatsuki,Persistent silhouette changes from base hero to Susanoo Itachi.,Use canon-appropriate face markings/features for Susanoo Itachi; NONE where canon shows no change.,Use canon-appropriate eye/dojutsu state for Susanoo Itachi; NONE where not applicable.,Preserve canonical hair unless the awakened form visibly changes it.,Use canonical clothing/form treatment for Susanoo Itachi.,Use canonical armor/avatar layer for Susanoo Itachi; NONE when not applicable.,Use canonical weapon state for Susanoo Itachi; NONE when not applicable.,Distinct awakened aura profile: aura/itachi-akatsuki/awakened,Distinct chakra/material profile: chakra/itachi-akatsuki/awakened,Form-specific summon/avatar layer for Susanoo Itachi; NONE when not canonically applicable.,client-unity/Assets/GameContent/Heroes/itachi-akatsuki/Awakened/Transition/Start,client-unity/Assets/GameContent/Heroes/itachi-akatsuki/Awakened/Transition/Mid,client-unity/Assets/GameContent/Heroes/itachi-akatsuki/Awakened/Transition/End,client-unity/Assets/GameContent/Heroes/itachi-akatsuki/Awakened/Animations/Idle,client-unity/Assets/GameContent/Heroes/itachi-akatsuki/Awakened/Animations/Move,vfx/itachi-akatsuki/awakened/basic,vfx/itachi-akatsuki/awakened/skill1,vfx/itachi-akatsuki/awakened/skill2,vfx/itachi-akatsuki/awakened/ultimate,vfx/itachi-akatsuki/awakened/awakening-skill,camera/itachi-akatsuki/awakening,screenfx/itachi-akatsuki/awakening,Unique transition and form aura SFX for Susanoo Itachi.,https://naruto.fandom.com/wiki/Itachi_Uchiha,ASSET_SPEC_PENDING_PRODUCTION
awakening-itachi-anbu,itachi-anbu,Persistent silhouette changes from base hero to Mangekyo Itachi.,Use canon-appropriate face markings/features for Mangekyo Itachi; NONE where canon shows no change.,Use canon-appropriate eye/dojutsu state for Mangekyo Itachi; NONE where not applicable.,Preserve canonical hair unless the awakened form visibly changes it.,Use canonical clothing/form treatment for Mangekyo Itachi.,Use canonical armor/avatar layer for Mangekyo Itachi; NONE when not applicable.,Use canonical weapon state for Mangekyo Itachi; NONE when not applicable.,Distinct awakened aura profile: aura/itachi-anbu/awakened,Distinct chakra/material profile: chakra/itachi-anbu/awakened,Form-specific summon/avatar layer for Mangekyo Itachi; NONE when not canonically applicable.,client-unity/Assets/GameContent/Heroes/itachi-anbu/Awakened/Transition/Start,client-unity/Assets/GameContent/Heroes/itachi-anbu/Awakened/Transition/Mid,client-unity/Assets/GameContent/Heroes/itachi-anbu/Awakened/Transition/End,client-unity/Assets/GameContent/Heroes/itachi-anbu/Awakened/Animations/Idle,client-unity/Assets/GameContent/Heroes/itachi-anbu/Awakened/Animations/Move,vfx/itachi-anbu/awakened/basic,vfx/itachi-anbu/awakened/skill1,vfx/itachi-anbu/awakened/skill2,vfx/itachi-anbu/awakened/ultimate,vfx/itachi-anbu/awakened/awakening-skill,camera/itachi-anbu/awakening,screenfx/itachi-anbu/awakening,Unique transition and form aura SFX for Mangekyo Itachi.,https://naruto.fandom.com/wiki/Itachi_Uchiha,ASSET_SPEC_PENDING_PRODUCTION
awakening-izuna-uchiha-core,izuna-uchiha-core,Persistent silhouette changes from base hero to Mangekyo Sharingan.,Use canon-appropriate face markings/features for Mangekyo Sharingan; NONE where canon shows no change.,Use canon-appropriate eye/dojutsu state for Mangekyo Sharingan; NONE where not applicable.,Preserve canonical hair unless the awakened form visibly changes it.,Use canonical clothing/form treatment for Mangekyo Sharingan.,Use canonical armor/avatar layer for Mangekyo Sharingan; NONE when not applicable.,Use canonical weapon state for Mangekyo Sharingan; NONE when not applicable.,Distinct awakened aura profile: aura/izuna-uchiha-core/awakened,Distinct chakra/material profile: chakra/izuna-uchiha-core/awakened,Form-specific summon/avatar layer for Mangekyo Sharingan; NONE when not canonically applicable.,client-unity/Assets/GameContent/Heroes/izuna-uchiha-core/Awakened/Transition/Start,client-unity/Assets/GameContent/Heroes/izuna-uchiha-core/Awakened/Transition/Mid,client-unity/Assets/GameContent/Heroes/izuna-uchiha-core/Awakened/Transition/End,client-unity/Assets/GameContent/Heroes/izuna-uchiha-core/Awakened/Animations/Idle,client-unity/Assets/GameContent/Heroes/izuna-uchiha-core/Awakened/Animations/Move,vfx/izuna-uchiha-core/awakened/basic,vfx/izuna-uchiha-core/awakened/skill1,vfx/izuna-uchiha-core/awakened/skill2,vfx/izuna-uchiha-core/awakened/ultimate,vfx/izuna-uchiha-core/awakened/awakening-skill,camera/izuna-uchiha-core/awakening,screenfx/izuna-uchiha-core/awakening,Unique transition and form aura SFX for Mangekyo Sharingan.,current variant census; current kit seed=sasuke,ASSET_SPEC_PENDING_PRODUCTION
awakening-jirobo-base,jirobo-base,Persistent silhouette changes from base hero to Curse Mark Level 2.,Use canon-appropriate face markings/features for Curse Mark Level 2; NONE where canon shows no change.,Use canon-appropriate eye/dojutsu state for Curse Mark Level 2; NONE where not applicable.,Preserve canonical hair unless the awakened form visibly changes it.,Use canonical clothing/form treatment for Curse Mark Level 2.,Use canonical armor/avatar layer for Curse Mark Level 2; NONE when not applicable.,Use canonical weapon state for Curse Mark Level 2; NONE when not applicable.,Distinct awakened aura profile: aura/jirobo-base/awakened,Distinct chakra/material profile: chakra/jirobo-base/awakened,Form-specific summon/avatar layer for Curse Mark Level 2; NONE when not canonically applicable.,client-unity/Assets/GameContent/Heroes/jirobo-base/Awakened/Transition/Start,client-unity/Assets/GameContent/Heroes/jirobo-base/Awakened/Transition/Mid,client-unity/Assets/GameContent/Heroes/jirobo-base/Awakened/Transition/End,client-unity/Assets/GameContent/Heroes/jirobo-base/Awakened/Animations/Idle,client-unity/Assets/GameContent/Heroes/jirobo-base/Awakened/Animations/Move,vfx/jirobo-base/awakened/basic,vfx/jirobo-base/awakened/skill1,vfx/jirobo-base/awakened/skill2,vfx/jirobo-base/awakened/ultimate,vfx/jirobo-base/awakened/awakening-skill,camera/jirobo-base/awakening,screenfx/jirobo-base/awakening,Unique transition and form aura SFX for Curse Mark Level 2.,https://naruto.fandom.com/wiki/Cursed_Seal,ASSET_SPEC_PENDING_PRODUCTION
awakening-jugo-base,jugo-base,Persistent silhouette changes from base hero to Sage Transformation.,Use canon-appropriate face markings/features for Sage Transformation; NONE where canon shows no change.,Use canon-appropriate eye/dojutsu state for Sage Transformation; NONE where not applicable.,Preserve canonical hair unless the awakened form visibly changes it.,Use canonical clothing/form treatment for Sage Transformation.,Use canonical armor/avatar layer for Sage Transformation; NONE when not applicable.,Use canonical weapon state for Sage Transformation; NONE when not applicable.,Distinct awakened aura profile: aura/jugo-base/awakened,Distinct chakra/material profile: chakra/jugo-base/awakened,Form-specific summon/avatar layer for Sage Transformation; NONE when not canonically applicable.,client-unity/Assets/GameContent/Heroes/jugo-base/Awakened/Transition/Start,client-unity/Assets/GameContent/Heroes/jugo-base/Awakened/Transition/Mid,client-unity/Assets/GameContent/Heroes/jugo-base/Awakened/Transition/End,client-unity/Assets/GameContent/Heroes/jugo-base/Awakened/Animations/Idle,client-unity/Assets/GameContent/Heroes/jugo-base/Awakened/Animations/Move,vfx/jugo-base/awakened/basic,vfx/jugo-base/awakened/skill1,vfx/jugo-base/awakened/skill2,vfx/jugo-base/awakened/ultimate,vfx/jugo-base/awakened/awakening-skill,camera/jugo-base/awakening,screenfx/jugo-base/awakening,Unique transition and form aura SFX for Sage Transformation.,https://naruto.fandom.com/wiki/J%C5%ABgo,ASSET_SPEC_PENDING_PRODUCTION
awakening-kabuto-shippuden,kabuto-shippuden,Persistent silhouette changes from base hero to Snake Sage Kabuto.,Use canon-appropriate face markings/features for Snake Sage Kabuto; NONE where canon shows no change.,Use canon-appropriate eye/dojutsu state for Snake Sage Kabuto; NONE where not applicable.,Preserve canonical hair unless the awakened form visibly changes it.,Use canonical clothing/form treatment for Snake Sage Kabuto.,Use canonical armor/avatar layer for Snake Sage Kabuto; NONE when not applicable.,Use canonical weapon state for Snake Sage Kabuto; NONE when not applicable.,Distinct awakened aura profile: aura/kabuto-shippuden/awakened,Distinct chakra/material profile: chakra/kabuto-shippuden/awakened,Form-specific summon/avatar layer for Snake Sage Kabuto; NONE when not canonically applicable.,client-unity/Assets/GameContent/Heroes/kabuto-shippuden/Awakened/Transition/Start,client-unity/Assets/GameContent/Heroes/kabuto-shippuden/Awakened/Transition/Mid,client-unity/Assets/GameContent/Heroes/kabuto-shippuden/Awakened/Transition/End,client-unity/Assets/GameContent/Heroes/kabuto-shippuden/Awakened/Animations/Idle,client-unity/Assets/GameContent/Heroes/kabuto-shippuden/Awakened/Animations/Move,vfx/kabuto-shippuden/awakened/basic,vfx/kabuto-shippuden/awakened/skill1,vfx/kabuto-shippuden/awakened/skill2,vfx/kabuto-shippuden/awakened/ultimate,vfx/kabuto-shippuden/awakened/awakening-skill,camera/kabuto-shippuden/awakening,screenfx/kabuto-shippuden/awakening,Unique transition and form aura SFX for Snake Sage Kabuto.,https://naruto.fandom.com/wiki/Kabuto_Yakushi,ASSET_SPEC_PENDING_PRODUCTION
awakening-kaguya-base,kaguya-base,Persistent silhouette changes from base hero to Rabbit Goddess.,Use canon-appropriate face markings/features for Rabbit Goddess; NONE where canon shows no change.,Use canon-appropriate eye/dojutsu state for Rabbit Goddess; NONE where not applicable.,Preserve canonical hair unless the awakened form visibly changes it.,Use canonical clothing/form treatment for Rabbit Goddess.,Use canonical armor/avatar layer for Rabbit Goddess; NONE when not applicable.,Use canonical weapon state for Rabbit Goddess; NONE when not applicable.,Distinct awakened aura profile: aura/kaguya-base/awakened,Distinct chakra/material profile: chakra/kaguya-base/awakened,Form-specific summon/avatar layer for Rabbit Goddess; NONE when not canonically applicable.,client-unity/Assets/GameContent/Heroes/kaguya-base/Awakened/Transition/Start,client-unity/Assets/GameContent/Heroes/kaguya-base/Awakened/Transition/Mid,client-unity/Assets/GameContent/Heroes/kaguya-base/Awakened/Transition/End,client-unity/Assets/GameContent/Heroes/kaguya-base/Awakened/Animations/Idle,client-unity/Assets/GameContent/Heroes/kaguya-base/Awakened/Animations/Move,vfx/kaguya-base/awakened/basic,vfx/kaguya-base/awakened/skill1,vfx/kaguya-base/awakened/skill2,vfx/kaguya-base/awakened/ultimate,vfx/kaguya-base/awakened/awakening-skill,camera/kaguya-base/awakening,screenfx/kaguya-base/awakening,Unique transition and form aura SFX for Rabbit Goddess.,https://naruto.fandom.com/wiki/Kaguya_%C5%8Ctsutsuki,ASSET_SPEC_PENDING_PRODUCTION
awakening-kakashi-war,kakashi-war,Persistent silhouette changes from base hero to Double Mangekyo Kakashi.,Use canon-appropriate face markings/features for Double Mangekyo Kakashi; NONE where canon shows no change.,Use canon-appropriate eye/dojutsu state for Double Mangekyo Kakashi; NONE where not applicable.,Preserve canonical hair unless the awakened form visibly changes it.,Use canonical clothing/form treatment for Double Mangekyo Kakashi.,Use canonical armor/avatar layer for Double Mangekyo Kakashi; NONE when not applicable.,Use canonical weapon state for Double Mangekyo Kakashi; NONE when not applicable.,Distinct awakened aura profile: aura/kakashi-war/awakened,Distinct chakra/material profile: chakra/kakashi-war/awakened,Form-specific summon/avatar layer for Double Mangekyo Kakashi; NONE when not canonically applicable.,client-unity/Assets/GameContent/Heroes/kakashi-war/Awakened/Transition/Start,client-unity/Assets/GameContent/Heroes/kakashi-war/Awakened/Transition/Mid,client-unity/Assets/GameContent/Heroes/kakashi-war/Awakened/Transition/End,client-unity/Assets/GameContent/Heroes/kakashi-war/Awakened/Animations/Idle,client-unity/Assets/GameContent/Heroes/kakashi-war/Awakened/Animations/Move,vfx/kakashi-war/awakened/basic,vfx/kakashi-war/awakened/skill1,vfx/kakashi-war/awakened/skill2,vfx/kakashi-war/awakened/ultimate,vfx/kakashi-war/awakened/awakening-skill,camera/kakashi-war/awakening,screenfx/kakashi-war/awakening,Unique transition and form aura SFX for Double Mangekyo Kakashi.,https://naruto.fandom.com/wiki/Kakashi_Hatake,ASSET_SPEC_PENDING_PRODUCTION
awakening-kakashi-young,kakashi-young,Persistent silhouette changes from base hero to Sharingan Kakashi.,Use canon-appropriate face markings/features for Sharingan Kakashi; NONE where canon shows no change.,Use canon-appropriate eye/dojutsu state for Sharingan Kakashi; NONE where not applicable.,Preserve canonical hair unless the awakened form visibly changes it.,Use canonical clothing/form treatment for Sharingan Kakashi.,Use canonical armor/avatar layer for Sharingan Kakashi; NONE when not applicable.,Use canonical weapon state for Sharingan Kakashi; NONE when not applicable.,Distinct awakened aura profile: aura/kakashi-young/awakened,Distinct chakra/material profile: chakra/kakashi-young/awakened,Form-specific summon/avatar layer for Sharingan Kakashi; NONE when not canonically applicable.,client-unity/Assets/GameContent/Heroes/kakashi-young/Awakened/Transition/Start,client-unity/Assets/GameContent/Heroes/kakashi-young/Awakened/Transition/Mid,client-unity/Assets/GameContent/Heroes/kakashi-young/Awakened/Transition/End,client-unity/Assets/GameContent/Heroes/kakashi-young/Awakened/Animations/Idle,client-unity/Assets/GameContent/Heroes/kakashi-young/Awakened/Animations/Move,vfx/kakashi-young/awakened/basic,vfx/kakashi-young/awakened/skill1,vfx/kakashi-young/awakened/skill2,vfx/kakashi-young/awakened/ultimate,vfx/kakashi-young/awakened/awakening-skill,camera/kakashi-young/awakening,screenfx/kakashi-young/awakening,Unique transition and form aura SFX for Sharingan Kakashi.,https://naruto.fandom.com/wiki/Kakashi_Hatake,ASSET_SPEC_PENDING_PRODUCTION
awakening-kakuzu-akatsuki,kakuzu-akatsuki,Persistent silhouette changes from base hero to Earth Grudge Fear Released.,Use canon-appropriate face markings/features for Earth Grudge Fear Released; NONE where canon shows no change.,Use canon-appropriate eye/dojutsu state for Earth Grudge Fear Released; NONE where not applicable.,Preserve canonical hair unless the awakened form visibly changes it.,Use canonical clothing/form treatment for Earth Grudge Fear Released.,Use canonical armor/avatar layer for Earth Grudge Fear Released; NONE when not applicable.,Use canonical weapon state for Earth Grudge Fear Released; NONE when not applicable.,Distinct awakened aura profile: aura/kakuzu-akatsuki/awakened,Distinct chakra/material profile: chakra/kakuzu-akatsuki/awakened,Form-specific summon/avatar layer for Earth Grudge Fear Released; NONE when not canonically applicable.,client-unity/Assets/GameContent/Heroes/kakuzu-akatsuki/Awakened/Transition/Start,client-unity/Assets/GameContent/Heroes/kakuzu-akatsuki/Awakened/Transition/Mid,client-unity/Assets/GameContent/Heroes/kakuzu-akatsuki/Awakened/Transition/End,client-unity/Assets/GameContent/Heroes/kakuzu-akatsuki/Awakened/Animations/Idle,client-unity/Assets/GameContent/Heroes/kakuzu-akatsuki/Awakened/Animations/Move,vfx/kakuzu-akatsuki/awakened/basic,vfx/kakuzu-akatsuki/awakened/skill1,vfx/kakuzu-akatsuki/awakened/skill2,vfx/kakuzu-akatsuki/awakened/ultimate,vfx/kakuzu-akatsuki/awakened/awakening-skill,camera/kakuzu-akatsuki/awakening,screenfx/kakuzu-akatsuki/awakening,Unique transition and form aura SFX for Earth Grudge Fear Released.,https://naruto.fandom.com/wiki/Kakuzu,ASSET_SPEC_PENDING_PRODUCTION
awakening-kidomaru-base,kidomaru-base,Persistent silhouette changes from base hero to Curse Mark Level 2.,Use canon-appropriate face markings/features for Curse Mark Level 2; NONE where canon shows no change.,Use canon-appropriate eye/dojutsu state for Curse Mark Level 2; NONE where not applicable.,Preserve canonical hair unless the awakened form visibly changes it.,Use canonical clothing/form treatment for Curse Mark Level 2.,Use canonical armor/avatar layer for Curse Mark Level 2; NONE when not applicable.,Use canonical weapon state for Curse Mark Level 2; NONE when not applicable.,Distinct awakened aura profile: aura/kidomaru-base/awakened,Distinct chakra/material profile: chakra/kidomaru-base/awakened,Form-specific summon/avatar layer for Curse Mark Level 2; NONE when not canonically applicable.,client-unity/Assets/GameContent/Heroes/kidomaru-base/Awakened/Transition/Start,client-unity/Assets/GameContent/Heroes/kidomaru-base/Awakened/Transition/Mid,client-unity/Assets/GameContent/Heroes/kidomaru-base/Awakened/Transition/End,client-unity/Assets/GameContent/Heroes/kidomaru-base/Awakened/Animations/Idle,client-unity/Assets/GameContent/Heroes/kidomaru-base/Awakened/Animations/Move,vfx/kidomaru-base/awakened/basic,vfx/kidomaru-base/awakened/skill1,vfx/kidomaru-base/awakened/skill2,vfx/kidomaru-base/awakened/ultimate,vfx/kidomaru-base/awakened/awakening-skill,camera/kidomaru-base/awakening,screenfx/kidomaru-base/awakening,Unique transition and form aura SFX for Curse Mark Level 2.,https://naruto.fandom.com/wiki/Cursed_Seal,ASSET_SPEC_PENDING_PRODUCTION
awakening-killer-b-base,killer-b-base,Persistent silhouette changes from base hero to Eight-Tails Cloak.,Use canon-appropriate face markings/features for Eight-Tails Cloak; NONE where canon shows no change.,Use canon-appropriate eye/dojutsu state for Eight-Tails Cloak; NONE where not applicable.,Preserve canonical hair unless the awakened form visibly changes it.,Use canonical clothing/form treatment for Eight-Tails Cloak.,Use canonical armor/avatar layer for Eight-Tails Cloak; NONE when not applicable.,Use canonical weapon state for Eight-Tails Cloak; NONE when not applicable.,Distinct awakened aura profile: aura/killer-b-base/awakened,Distinct chakra/material profile: chakra/killer-b-base/awakened,Form-specific summon/avatar layer for Eight-Tails Cloak; NONE when not canonically applicable.,client-unity/Assets/GameContent/Heroes/killer-b-base/Awakened/Transition/Start,client-unity/Assets/GameContent/Heroes/killer-b-base/Awakened/Transition/Mid,client-unity/Assets/GameContent/Heroes/killer-b-base/Awakened/Transition/End,client-unity/Assets/GameContent/Heroes/killer-b-base/Awakened/Animations/Idle,client-unity/Assets/GameContent/Heroes/killer-b-base/Awakened/Animations/Move,vfx/killer-b-base/awakened/basic,vfx/killer-b-base/awakened/skill1,vfx/killer-b-base/awakened/skill2,vfx/killer-b-base/awakened/ultimate,vfx/killer-b-base/awakened/awakening-skill,camera/killer-b-base/awakening,screenfx/killer-b-base/awakening,Unique transition and form aura SFX for Eight-Tails Cloak.,https://naruto.fandom.com/wiki/Jinch%C5%ABriki_Forms,ASSET_SPEC_PENDING_PRODUCTION
awakening-kimimaro-base,kimimaro-base,Persistent silhouette changes from base hero to Curse Mark Level 2.,Use canon-appropriate face markings/features for Curse Mark Level 2; NONE where canon shows no change.,Use canon-appropriate eye/dojutsu state for Curse Mark Level 2; NONE where not applicable.,Preserve canonical hair unless the awakened form visibly changes it.,Use canonical clothing/form treatment for Curse Mark Level 2.,Use canonical armor/avatar layer for Curse Mark Level 2; NONE when not applicable.,Use canonical weapon state for Curse Mark Level 2; NONE when not applicable.,Distinct awakened aura profile: aura/kimimaro-base/awakened,Distinct chakra/material profile: chakra/kimimaro-base/awakened,Form-specific summon/avatar layer for Curse Mark Level 2; NONE when not canonically applicable.,client-unity/Assets/GameContent/Heroes/kimimaro-base/Awakened/Transition/Start,client-unity/Assets/GameContent/Heroes/kimimaro-base/Awakened/Transition/Mid,client-unity/Assets/GameContent/Heroes/kimimaro-base/Awakened/Transition/End,client-unity/Assets/GameContent/Heroes/kimimaro-base/Awakened/Animations/Idle,client-unity/Assets/GameContent/Heroes/kimimaro-base/Awakened/Animations/Move,vfx/kimimaro-base/awakened/basic,vfx/kimimaro-base/awakened/skill1,vfx/kimimaro-base/awakened/skill2,vfx/kimimaro-base/awakened/ultimate,vfx/kimimaro-base/awakened/awakening-skill,camera/kimimaro-base/awakening,screenfx/kimimaro-base/awakening,Unique transition and form aura SFX for Curse Mark Level 2.,https://naruto.fandom.com/wiki/Kimimaro,ASSET_SPEC_PENDING_PRODUCTION
awakening-kinkaku-base,kinkaku-base,Persistent silhouette changes from base hero to Nine-Tails Cloak.,Use canon-appropriate face markings/features for Nine-Tails Cloak; NONE where canon shows no change.,Use canon-appropriate eye/dojutsu state for Nine-Tails Cloak; NONE where not applicable.,Preserve canonical hair unless the awakened form visibly changes it.,Use canonical clothing/form treatment for Nine-Tails Cloak.,Use canonical armor/avatar layer for Nine-Tails Cloak; NONE when not applicable.,Use canonical weapon state for Nine-Tails Cloak; NONE when not applicable.,Distinct awakened aura profile: aura/kinkaku-base/awakened,Distinct chakra/material profile: chakra/kinkaku-base/awakened,Form-specific summon/avatar layer for Nine-Tails Cloak; NONE when not canonically applicable.,client-unity/Assets/GameContent/Heroes/kinkaku-base/Awakened/Transition/Start,client-unity/Assets/GameContent/Heroes/kinkaku-base/Awakened/Transition/Mid,client-unity/Assets/GameContent/Heroes/kinkaku-base/Awakened/Transition/End,client-unity/Assets/GameContent/Heroes/kinkaku-base/Awakened/Animations/Idle,client-unity/Assets/GameContent/Heroes/kinkaku-base/Awakened/Animations/Move,vfx/kinkaku-base/awakened/basic,vfx/kinkaku-base/awakened/skill1,vfx/kinkaku-base/awakened/skill2,vfx/kinkaku-base/awakened/ultimate,vfx/kinkaku-base/awakened/awakening-skill,camera/kinkaku-base/awakening,screenfx/kinkaku-base/awakening,Unique transition and form aura SFX for Nine-Tails Cloak.,https://naruto.fandom.com/wiki/Kinkaku,ASSET_SPEC_PENDING_PRODUCTION
awakening-kisame-akatsuki,kisame-akatsuki,Persistent silhouette changes from base hero to Samehada Fusion.,Use canon-appropriate face markings/features for Samehada Fusion; NONE where canon shows no change.,Use canon-appropriate eye/dojutsu state for Samehada Fusion; NONE where not applicable.,Preserve canonical hair unless the awakened form visibly changes it.,Use canonical clothing/form treatment for Samehada Fusion.,Use canonical armor/avatar layer for Samehada Fusion; NONE when not applicable.,Use canonical weapon state for Samehada Fusion; NONE when not applicable.,Distinct awakened aura profile: aura/kisame-akatsuki/awakened,Distinct chakra/material profile: chakra/kisame-akatsuki/awakened,Form-specific summon/avatar layer for Samehada Fusion; NONE when not canonically applicable.,client-unity/Assets/GameContent/Heroes/kisame-akatsuki/Awakened/Transition/Start,client-unity/Assets/GameContent/Heroes/kisame-akatsuki/Awakened/Transition/Mid,client-unity/Assets/GameContent/Heroes/kisame-akatsuki/Awakened/Transition/End,client-unity/Assets/GameContent/Heroes/kisame-akatsuki/Awakened/Animations/Idle,client-unity/Assets/GameContent/Heroes/kisame-akatsuki/Awakened/Animations/Move,vfx/kisame-akatsuki/awakened/basic,vfx/kisame-akatsuki/awakened/skill1,vfx/kisame-akatsuki/awakened/skill2,vfx/kisame-akatsuki/awakened/ultimate,vfx/kisame-akatsuki/awakened/awakening-skill,camera/kisame-akatsuki/awakening,screenfx/kisame-akatsuki/awakening,Unique transition and form aura SFX for Samehada Fusion.,https://naruto.fandom.com/wiki/Kisame_Hoshigaki,ASSET_SPEC_PENDING_PRODUCTION
awakening-konan-akatsuki,konan-akatsuki,Persistent silhouette changes from base hero to Paper Angel Konan.,Use canon-appropriate face markings/features for Paper Angel Konan; NONE where canon shows no change.,Use canon-appropriate eye/dojutsu state for Paper Angel Konan; NONE where not applicable.,Preserve canonical hair unless the awakened form visibly changes it.,Use canonical clothing/form treatment for Paper Angel Konan.,Use canonical armor/avatar layer for Paper Angel Konan; NONE when not applicable.,Use canonical weapon state for Paper Angel Konan; NONE when not applicable.,Distinct awakened aura profile: aura/konan-akatsuki/awakened,Distinct chakra/material profile: chakra/konan-akatsuki/awakened,Form-specific summon/avatar layer for Paper Angel Konan; NONE when not canonically applicable.,client-unity/Assets/GameContent/Heroes/konan-akatsuki/Awakened/Transition/Start,client-unity/Assets/GameContent/Heroes/konan-akatsuki/Awakened/Transition/Mid,client-unity/Assets/GameContent/Heroes/konan-akatsuki/Awakened/Transition/End,client-unity/Assets/GameContent/Heroes/konan-akatsuki/Awakened/Animations/Idle,client-unity/Assets/GameContent/Heroes/konan-akatsuki/Awakened/Animations/Move,vfx/konan-akatsuki/awakened/basic,vfx/konan-akatsuki/awakened/skill1,vfx/konan-akatsuki/awakened/skill2,vfx/konan-akatsuki/awakened/ultimate,vfx/konan-akatsuki/awakened/awakening-skill,camera/konan-akatsuki/awakening,screenfx/konan-akatsuki/awakening,Unique transition and form aura SFX for Paper Angel Konan.,https://naruto.fandom.com/wiki/Konan,ASSET_SPEC_PENDING_PRODUCTION
