hero_id,character_id,version_name,display_name_en,display_name_vi,era,rarity,role,element,faction,base_form_id,basic_skill,skill_1,skill_2,ultimate,passive,awakening_id,summonable,status
baiu-core,baiu,baiu [Core],baiu [Core],baiu [Core],SOURCE_ERA,SR,FLEX,WATER,AMEGAKURE,form-baiu-rain-genin,hvs-baiu-core-basic,hvs-baiu-core-skill-1,hvs-baiu-core-skill-2,hvs-baiu-core-ultimate,hvs-baiu-core-passive,,true,PLAYABLE_DESIGN_BASELINE
baki-core,baki,baki [Core],baki [Core],baki [Core],SOURCE_ERA,SR,FLEX,WIND,SUNAGAKURE,form-baki-sand-jonin,hvs-baki-core-basic,hvs-baki-core-skill-1,hvs-baki-core-skill-2,hvs-baki-core-ultimate,hvs-baki-core-passive,,true,PLAYABLE_DESIGN_BASELINE
black-zetsu-core,black-zetsu,black-zetsu [Core],black-zetsu [Core],black-zetsu [Core],SOURCE_ERA,SR,FLEX,CHAKRA,AKATSUKI,form-black-zetsu-akatsuki-spy,hvs-black-zetsu-core-basic,hvs-black-zetsu-core-skill-1,hvs-black-zetsu-core-skill-2,hvs-black-zetsu-core-ultimate,hvs-black-zetsu-core-passive,,true,PLAYABLE_DESIGN_BASELINE
blue-b-core,blue-b,blue-b [Core],blue-b [Core],blue-b [Core],SOURCE_ERA,SR,FLEX,MIXED,KUMOGAKURE,form-blue-b-eight-tails-host,hvs-blue-b-core-basic,hvs-blue-b-core-skill-1,hvs-blue-b-core-skill-2,hvs-blue-b-core-ultimate,hvs-blue-b-core-passive,awakening-blue-b-core,true,PLAYABLE_DESIGN_BASELINE
bunpuku-core,bunpuku,bunpuku [Core],bunpuku [Core],bunpuku [Core],SOURCE_ERA,SR,FLEX,MIXED,JINCHURIKI,form-bunpuku-shukaku-host,hvs-bunpuku-core-basic,hvs-bunpuku-core-skill-1,hvs-bunpuku-core-skill-2,hvs-bunpuku-core-ultimate,hvs-bunpuku-core-passive,,true,PLAYABLE_DESIGN_BASELINE
byakuren-core,byakuren,byakuren [Core],byakuren [Core],byakuren [Core],SOURCE_ERA,SR,FLEX,WATER,KIRIGAKURE,form-byakuren-first-mizukage,hvs-byakuren-core-basic,hvs-byakuren-core-skill-1,hvs-byakuren-core-skill-2,hvs-byakuren-core-ultimate,hvs-byakuren-core-passive,,true,PLAYABLE_DESIGN_BASELINE
c-core,c,c [Core],c [Core],c [Core],SOURCE_ERA,SR,FLEX,MIXED,KUMOGAKURE,form-c-sensor,hvs-c-core-basic,hvs-c-core-skill-1,hvs-c-core-skill-2,hvs-c-core-ultimate,hvs-c-core-passive,,true,PLAYABLE_DESIGN_BASELINE
chiyo-core,chiyo,chiyo [Core],chiyo [Core],chiyo [Core],SOURCE_ERA,SR,FLEX,MIXED,SUNAGAKURE,form-chiyo-base,hvs-chiyo-core-basic,hvs-chiyo-core-skill-1,hvs-chiyo-core-skill-2,hvs-chiyo-core-ultimate,hvs-chiyo-core-passive,,true,PLAYABLE_DESIGN_BASELINE
choji-shippuden,choji-akimichi,Choji [Shippuden],Choji [Shippuden],Choji [Shippuden],SHIPPUDEN,SSR,BRUISER,MIXED,KONOHA,form-choji-akimichi-shippuden,hvs-choji-shippuden-basic,hvs-choji-shippuden-skill-1,hvs-choji-shippuden-skill-2,hvs-choji-shippuden-ultimate,hvs-choji-shippuden-passive,awakening-choji-shippuden,true,PLAYABLE_DESIGN_BASELINE
chojuro-core,chojuro,chojuro [Core],chojuro [Core],chojuro [Core],SOURCE_ERA,SR,FLEX,WATER,KIRIGAKURE,form-chojuro-seven-swordsman,hvs-chojuro-core-basic,hvs-chojuro-core-skill-1,hvs-chojuro-core-skill-2,hvs-chojuro-core-ultimate,hvs-chojuro-core-passive,,true,PLAYABLE_DESIGN_BASELINE
choza-akimichi-core,choza-akimichi,choza-akimichi [Core],choza-akimichi [Core],choza-akimichi [Core],SOURCE_ERA,SR,FLEX,MIXED,KONOHA,form-choza-akimichi-clan-head,hvs-choza-akimichi-core-basic,hvs-choza-akimichi-core-skill-1,hvs-choza-akimichi-core-skill-2,hvs-choza-akimichi-core-ultimate,hvs-choza-akimichi-core-passive,,true,PLAYABLE_DESIGN_BASELINE
chukichi-core,chukichi,chukichi [Core],chukichi [Core],chukichi [Core],SOURCE_ERA,SR,FLEX,WATER,KIRIGAKURE,form-chukichi-sensor-ninja,hvs-chukichi-core-basic,hvs-chukichi-core-skill-1,hvs-chukichi-core-skill-2,hvs-chukichi-core-ultimate,hvs-chukichi-core-passive,,true,PLAYABLE_DESIGN_BASELINE
dan-kato-core,dan-kato,dan-kato [Core],dan-kato [Core],dan-kato [Core],SOURCE_ERA,SR,FLEX,MIXED,KONOHA,form-dan-kato-jonin,hvs-dan-kato-core-basic,hvs-dan-kato-core-skill-1,hvs-dan-kato-core-skill-2,hvs-dan-kato-core-ultimate,hvs-dan-kato-core-passive,,true,PLAYABLE_DESIGN_BASELINE
danzo-candidate,danzo-shimura,Danzo [Hokage Candidate],Danzo [Hokage Candidate],Danzo [Hokage Candidate],FIVE_KAGE_SUMMIT,SSR,CONTROL_TANK,WIND,KONOHA,form-danzo-shimura-hokage-candidate,hvs-danzo-candidate-basic,hvs-danzo-candidate-skill-1,hvs-danzo-candidate-skill-2,hvs-danzo-candidate-ultimate,hvs-danzo-candidate-passive,awakening-danzo-candidate,true,PLAYABLE_DESIGN_BASELINE
darui-core,darui,Darui,Darui,Darui,SOURCE_ERA,SR,FLEX,MIXED,KUMOGAKURE,form-darui-base,hvs-darui-core-basic,hvs-darui-core-skill-1,hvs-darui-core-skill-2,hvs-darui-core-ultimate,hvs-darui-core-passive,,true,PLAYABLE_DESIGN_BASELINE
deidara-core,deidara,deidara [Core],deidara [Core],deidara [Core],SOURCE_ERA,SR,FLEX,CHAKRA,IWAGAKURE,form-deidara-akatsuki,hvs-deidara-core-basic,hvs-deidara-core-skill-1,hvs-deidara-core-skill-2,hvs-deidara-core-ultimate,hvs-deidara-core-passive,,true,PLAYABLE_DESIGN_BASELINE
dodai-core,dodai,Dodai,Dodai,Dodai,SOURCE_ERA,SR,FLEX,EARTH,KUMOGAKURE,form-dodai-base,hvs-dodai-core-basic,hvs-dodai-core-skill-1,hvs-dodai-core-skill-2,hvs-dodai-core-ultimate,hvs-dodai-core-passive,,true,PLAYABLE_DESIGN_BASELINE
dosu-kinuta-core,dosu-kinuta,dosu-kinuta [Core],dosu-kinuta [Core],dosu-kinuta [Core],SOURCE_ERA,SR,FLEX,MIXED,OTOGAKURE,form-dosu-kinuta-sound-genin,hvs-dosu-kinuta-core-basic,hvs-dosu-kinuta-core-skill-1,hvs-dosu-kinuta-core-skill-2,hvs-dosu-kinuta-core-ultimate,hvs-dosu-kinuta-core-passive,,true,PLAYABLE_DESIGN_BASELINE
ebisu-core,ebisu,ebisu [Core],ebisu [Core],ebisu [Core],SOURCE_ERA,SR,FLEX,MIXED,KONOHA,form-ebisu-elite-tutor,hvs-ebisu-core-basic,hvs-ebisu-core-skill-1,hvs-ebisu-core-skill-2,hvs-ebisu-core-ultimate,hvs-ebisu-core-passive,,true,PLAYABLE_DESIGN_BASELINE
ebizo-core,ebizo,ebizo [Core],ebizo [Core],ebizo [Core],SOURCE_ERA,SR,FLEX,MIXED,SUNAGAKURE,form-ebizo-sand-elder,hvs-ebizo-core-basic,hvs-ebizo-core-skill-1,hvs-ebizo-core-skill-2,hvs-ebizo-core-ultimate,hvs-ebizo-core-passive,,true,PLAYABLE_DESIGN_BASELINE
first-raikage-core,first-raikage,first-raikage [Core],first-raikage [Core],first-raikage [Core],SOURCE_ERA,SR,FLEX,MIXED,KUMOGAKURE,form-first-raikage-first-raikage,hvs-first-raikage-core-basic,hvs-first-raikage-core-skill-1,hvs-first-raikage-core-skill-2,hvs-first-raikage-core-ultimate,hvs-first-raikage-core-passive,,true,PLAYABLE_DESIGN_BASELINE
fu-base,fu,Fu,Fu,Fu,SHIPPUDEN,SR,MOBILITY_DPS,MIXED,JINCHURIKI,form-fu-base,hvs-fu-base-basic,hvs-fu-base-skill-1,hvs-fu-base-skill-2,hvs-fu-base-ultimate,hvs-fu-base-passive,awakening-fu-base,true,PLAYABLE_DESIGN_BASELINE
fu-yamanaka-core,fu-yamanaka,fu-yamanaka [Core],fu-yamanaka [Core],fu-yamanaka [Core],SOURCE_ERA,SR,FLEX,MIXED,KONOHA,form-fu-yamanaka-root-operative,hvs-fu-yamanaka-core-basic,hvs-fu-yamanaka-core-skill-1,hvs-fu-yamanaka-core-skill-2,hvs-fu-yamanaka-core-ultimate,hvs-fu-yamanaka-core-passive,,true,PLAYABLE_DESIGN_BASELINE
fudo-core,fudo,fudo [Core],fudo [Core],fudo [Core],SOURCE_ERA,SR,FLEX,EARTH,OTHER,form-fudo-four-man-team,hvs-fudo-core-basic,hvs-fudo-core-skill-1,hvs-fudo-core-skill-2,hvs-fudo-core-ultimate,hvs-fudo-core-passive,,true,PLAYABLE_DESIGN_BASELINE
fuen-core,fuen,fuen [Core],fuen [Core],fuen [Core],SOURCE_ERA,SR,FLEX,MIXED,OTHER,form-fuen-four-man-team,hvs-fuen-core-basic,hvs-fuen-core-skill-1,hvs-fuen-core-skill-2,hvs-fuen-core-ultimate,hvs-fuen-core-passive,,true,PLAYABLE_DESIGN_BASELINE
fugaku-uchiha-core,fugaku-uchiha,fugaku-uchiha [Core],fugaku-uchiha [Core],fugaku-uchiha [Core],SOURCE_ERA,SR,FLEX,MIXED,KONOHA,form-fugaku-uchiha-clan-head,hvs-fugaku-uchiha-core-basic,hvs-fugaku-uchiha-core-skill-1,hvs-fugaku-uchiha-core-skill-2,hvs-fugaku-uchiha-core-ultimate,hvs-fugaku-uchiha-core-passive,,true,PLAYABLE_DESIGN_BASELINE
fuguki-suikazan-core,fuguki-suikazan,fuguki-suikazan [Core],fuguki-suikazan [Core],fuguki-suikazan [Core],SOURCE_ERA,SR,FLEX,WATER,KIRIGAKURE,form-fuguki-suikazan-samehada-wielder,hvs-fuguki-suikazan-core-basic,hvs-fuguki-suikazan-core-skill-1,hvs-fuguki-suikazan-core-skill-2,hvs-fuguki-suikazan-core-ultimate,hvs-fuguki-suikazan-core-passive,,true,PLAYABLE_DESIGN_BASELINE
fuka-core,fuka,fuka [Core],fuka [Core],fuka [Core],SOURCE_ERA,SR,FLEX,MIXED,OTHER,form-fuka-four-man-team,hvs-fuka-core-basic,hvs-fuka-core-skill-1,hvs-fuka-core-skill-2,hvs-fuka-core-ultimate,hvs-fuka-core-passive,,true,PLAYABLE_DESIGN_BASELINE
gaara-genin,gaara,Gaara [Genin],Gaara [Genin],Gaara [Genin],PART_I,SSR,TANK_CONTROL,CHAKRA,SUNAGAKURE,form-gaara-genin,hvs-gaara-genin-basic,hvs-gaara-genin-skill-1,hvs-gaara-genin-skill-2,hvs-gaara-genin-ultimate,hvs-gaara-genin-passive,awakening-gaara-genin,true,PLAYABLE_DESIGN_BASELINE
gaara-kazekage,gaara,Gaara [Kazekage],Gaara [Kazekage],Gaara [Kazekage],SHIPPUDEN,SSR,TANK_CONTROL,CHAKRA,SUNAGAKURE,form-gaara-kazekage,hvs-gaara-kazekage-basic,hvs-gaara-kazekage-skill-1,hvs-gaara-kazekage-skill-2,hvs-gaara-kazekage-ultimate,hvs-gaara-kazekage-passive,,true,PLAYABLE_DESIGN_BASELINE
gari-core,gari,Gari,Gari,Gari,SOURCE_ERA,SR,FLEX,EARTH,IWAGAKURE,form-gari-base,hvs-gari-core-basic,hvs-gari-core-skill-1,hvs-gari-core-skill-2,hvs-gari-core-ultimate,hvs-gari-core-passive,,true,PLAYABLE_DESIGN_BASELINE
gengetsu-hozuki-core,gengetsu-hozuki,gengetsu-hozuki [Core],gengetsu-hozuki [Core],gengetsu-hozuki [Core],SOURCE_ERA,SR,FLEX,WATER,KIRIGAKURE,form-gengetsu-hozuki-second-mizukage,hvs-gengetsu-hozuki-core-basic,hvs-gengetsu-hozuki-core-skill-1,hvs-gengetsu-hozuki-core-skill-2,hvs-gengetsu-hozuki-core-ultimate,hvs-gengetsu-hozuki-core-passive,,true,PLAYABLE_DESIGN_BASELINE
genma-shiranui-core,genma-shiranui,genma-shiranui [Core],genma-shiranui [Core],genma-shiranui [Core],SOURCE_ERA,SR,FLEX,MIXED,KONOHA,form-genma-shiranui-special-jonin,hvs-genma-shiranui-core-basic,hvs-genma-shiranui-core-skill-1,hvs-genma-shiranui-core-skill-2,hvs-genma-shiranui-core-ultimate,hvs-genma-shiranui-core-passive,,true,PLAYABLE_DESIGN_BASELINE
ginkaku-base,ginkaku,Ginkaku,Ginkaku,Ginkaku,WAR_ERA,SR,CONTROL,MIXED,WARERA,form-ginkaku-silver-brother,hvs-ginkaku-base-basic,hvs-ginkaku-base-skill-1,hvs-ginkaku-base-skill-2,hvs-ginkaku-base-ultimate,hvs-ginkaku-base-passive,awakening-ginkaku-base,true,PLAYABLE_DESIGN_BASELINE
gozu-core,gozu,gozu [Core],gozu [Core],gozu [Core],SOURCE_ERA,SR,FLEX,MIXED,OTHER,form-gozu-demon-brothers,hvs-gozu-core-basic,hvs-gozu-core-skill-1,hvs-gozu-core-skill-2,hvs-gozu-core-ultimate,hvs-gozu-core-passive,,true,PLAYABLE_DESIGN_BASELINE
guren-core,guren,Guren,Guren,Guren,SOURCE_ERA,SR,FLEX,EARTH,OTOGAKURE,form-guren-base,hvs-guren-core-basic,hvs-guren-core-skill-1,hvs-guren-core-skill-2,hvs-guren-core-ultimate,hvs-guren-core-passive,,true,PLAYABLE_DESIGN_BASELINE
hagoromo-young,hagoromo-otsutsuki,Hagoromo [Young],Hagoromo [Young],Hagoromo [Young],ANCIENT,SSR,UTILITY_CONTROL,CHAKRA,ANCIENTS,form-hagoromo-otsutsuki-young,hvs-hagoromo-young-basic,hvs-hagoromo-young-skill-1,hvs-hagoromo-young-skill-2,hvs-hagoromo-young-ultimate,hvs-hagoromo-young-passive,awakening-hagoromo-young,true,PLAYABLE_DESIGN_BASELINE
haku-core,haku,haku [Core],haku [Core],haku [Core],SOURCE_ERA,SR,FLEX,WATER,KIRIGAKURE,form-haku-base,hvs-haku-core-basic,hvs-haku-core-skill-1,hvs-haku-core-skill-2,hvs-haku-core-ultimate,hvs-haku-core-passive,,true,PLAYABLE_DESIGN_BASELINE
hamura-otsutsuki-core,hamura-otsutsuki,hamura-otsutsuki [Core],hamura-otsutsuki [Core],hamura-otsutsuki [Core],SOURCE_ERA,SR,FLEX,CHAKRA,ANCIENTS,form-hamura-otsutsuki-young,hvs-hamura-otsutsuki-core-basic,hvs-hamura-otsutsuki-core-skill-1,hvs-hamura-otsutsuki-core-skill-2,hvs-hamura-otsutsuki-core-ultimate,hvs-hamura-otsutsuki-core-passive,,true,PLAYABLE_DESIGN_BASELINE
han-base,han,Han,Han,Han,SHIPPUDEN,SR,BRUISER,MIXED,IWAGAKURE,form-han-base,hvs-han-base-basic,hvs-han-base-skill-1,hvs-han-base-skill-2,hvs-han-base-ultimate,hvs-han-base-passive,awakening-han-base,true,PLAYABLE_DESIGN_BASELINE
hanabi-hyuga-core,hanabi-hyuga,hanabi-hyuga [Core],hanabi-hyuga [Core],hanabi-hyuga [Core],SOURCE_ERA,SR,FLEX,MIXED,KONOHA,form-hanabi-hyuga-hyuga-heiress,hvs-hanabi-hyuga-core-basic,hvs-hanabi-hyuga-core-skill-1,hvs-hanabi-hyuga-core-skill-2,hvs-hanabi-hyuga-core-ultimate,hvs-hanabi-hyuga-core-passive,,true,PLAYABLE_DESIGN_BASELINE
hanzo-core,hanzo,hanzo [Core],hanzo [Core],hanzo [Core],SOURCE_ERA,SR,FLEX,MIXED,AMEGAKURE,form-hanzo-prime,hvs-hanzo-core-basic,hvs-hanzo-core-skill-1,hvs-hanzo-core-skill-2,hvs-hanzo-core-ultimate,hvs-hanzo-core-passive,,true,PLAYABLE_DESIGN_BASELINE
hashirama-hokage,hashirama-senju,Hashirama [First Hokage],Hashirama [First Hokage],Hashirama [First Hokage],HOKAGE,UR,TANK_CONTROL,CHAKRA,KONOHA,form-hashirama-senju-first-hokage,hvs-hashirama-hokage-basic,hvs-hashirama-hokage-skill-1,hvs-hashirama-hokage-skill-2,hvs-hashirama-hokage-ultimate,hvs-hashirama-hokage-passive,awakening-hashirama-hokage,true,PLAYABLE_DESIGN_BASELINE
hayate-gekko-core,hayate-gekko,hayate-gekko [Core],hayate-gekko [Core],hayate-gekko [Core],SOURCE_ERA,SR,FLEX,MIXED,KONOHA,form-hayate-gekko-chunin-exams-proctor,hvs-hayate-gekko-core-basic,hvs-hayate-gekko-core-skill-1,hvs-hayate-gekko-core-skill-2,hvs-hayate-gekko-core-ultimate,hvs-hayate-gekko-core-passive,,true,PLAYABLE_DESIGN_BASELINE
hiashi-hyuga-core,hiashi-hyuga,hiashi-hyuga [Core],hiashi-hyuga [Core],hiashi-hyuga [Core],SOURCE_ERA,SR,FLEX,MIXED,KONOHA,form-hiashi-hyuga-clan-head,hvs-hiashi-hyuga-core-basic,hvs-hiashi-hyuga-core-skill-1,hvs-hiashi-hyuga-core-skill-2,hvs-hiashi-hyuga-core-ultimate,hvs-hiashi-hyuga-core-passive,,true,PLAYABLE_DESIGN_BASELINE
hidan-core,hidan,hidan [Core],hidan [Core],hidan [Core],SOURCE_ERA,SR,FLEX,MIXED,AKATSUKI,form-hidan-akatsuki,hvs-hidan-core-basic,hvs-hidan-core-skill-1,hvs-hidan-core-skill-2,hvs-hidan-core-ultimate,hvs-hidan-core-passive,,true,PLAYABLE_DESIGN_BASELINE
hinata-hyuga-core,hinata-hyuga,hinata-hyuga [Core],hinata-hyuga [Core],hinata-hyuga [Core],SOURCE_ERA,SR,FLEX,MIXED,KONOHA,form-hinata-hyuga-genin,hvs-hinata-hyuga-core-basic,hvs-hinata-hyuga-core-skill-1,hvs-hinata-hyuga-core-skill-2,hvs-hinata-hyuga-core-ultimate,hvs-hinata-hyuga-core-passive,,true,PLAYABLE_DESIGN_BASELINE
hiruko-core,hiruko,hiruko [Core],hiruko [Core],hiruko [Core],SOURCE_ERA,SR,FLEX,MIXED,ANIMEMOVIEEXPANSION,form-hiruko-missing-nin,hvs-hiruko-core-basic,hvs-hiruko-core-skill-1,hvs-hiruko-core-skill-2,hvs-hiruko-core-ultimate,hvs-hiruko-core-passive,,true,PLAYABLE_DESIGN_BASELINE
hiruzen-prime,hiruzen-sarutobi,Hiruzen [Prime],Hiruzen [Prime],Hiruzen [Prime],HOKAGE,SSR,FLEX,MIXED,KONOHA,form-hiruzen-sarutobi-prime,hvs-hiruzen-prime-basic,hvs-hiruzen-prime-skill-1,hvs-hiruzen-prime-skill-2,hvs-hiruzen-prime-ultimate,hvs-hiruzen-prime-passive,,true,PLAYABLE_DESIGN_BASELINE
hizashi-hyuga-core,hizashi-hyuga,hizashi-hyuga [Core],hizashi-hyuga [Core],hizashi-hyuga [Core],SOURCE_ERA,SR,FLEX,MIXED,KONOHA,form-hizashi-hyuga-branch-house,hvs-hizashi-hyuga-core-basic,hvs-hizashi-hyuga-core-skill-1,hvs-hizashi-hyuga-core-skill-2,hvs-hizashi-hyuga-core-ultimate,hvs-hizashi-hyuga-core-passive,,true,PLAYABLE_DESIGN_BASELINE
ibiki-morino-core,ibiki-morino,ibiki-morino [Core],ibiki-morino [Core],ibiki-morino [Core],SOURCE_ERA,SR,FLEX,MIXED,KONOHA,form-ibiki-morino-interrogation-chief,hvs-ibiki-morino-core-basic,hvs-ibiki-morino-core-skill-1,hvs-ibiki-morino-core-skill-2,hvs-ibiki-morino-core-ultimate,hvs-ibiki-morino-core-passive,,true,PLAYABLE_DESIGN_BASELINE
idate-morino-core,idate-morino,idate-morino [Core],idate-morino [Core],idate-morino [Core],SOURCE_ERA,SR,FLEX,MIXED,KONOHA,form-idate-morino-runner,hvs-idate-morino-core-basic,hvs-idate-morino-core-skill-1,hvs-idate-morino-core-skill-2,hvs-idate-morino-core-ultimate,hvs-idate-morino-core-passive,,true,PLAYABLE_DESIGN_BASELINE
indra-base,indra-otsutsuki,Indra Otsutsuki,Indra Otsutsuki,Indra Otsutsuki,ANCIENT,SR,CONTROL_DPS,MIXED,ANCIENTS,form-indra-otsutsuki-base,hvs-indra-base-basic,hvs-indra-base-skill-1,hvs-indra-base-skill-2,hvs-indra-base-ultimate,hvs-indra-base-passive,awakening-indra-base,true,PLAYABLE_DESIGN_BASELINE
ino-yamanaka-core,ino-yamanaka,ino-yamanaka [Core],ino-yamanaka [Core],ino-yamanaka [Core],SOURCE_ERA,SR,FLEX,MIXED,KONOHA,form-ino-yamanaka-genin,hvs-ino-yamanaka-core-basic,hvs-ino-yamanaka-core-skill-1,hvs-ino-yamanaka-core-skill-2,hvs-ino-yamanaka-core-ultimate,hvs-ino-yamanaka-core-passive,,true,PLAYABLE_DESIGN_BASELINE
inoichi-yamanaka-core,inoichi-yamanaka,inoichi-yamanaka [Core],inoichi-yamanaka [Core],inoichi-yamanaka [Core],SOURCE_ERA,SR,FLEX,MIXED,KONOHA,form-inoichi-yamanaka-clan-head,hvs-inoichi-yamanaka-core-basic,hvs-inoichi-yamanaka-core-skill-1,hvs-inoichi-yamanaka-core-skill-2,hvs-inoichi-yamanaka-core-ultimate,hvs-inoichi-yamanaka-core-passive,,true,PLAYABLE_DESIGN_BASELINE
iruka-umino-core,iruka-umino,iruka-umino [Core],iruka-umino [Core],iruka-umino [Core],SOURCE_ERA,SR,FLEX,MIXED,KONOHA,form-iruka-umino-academy-instructor,hvs-iruka-umino-core-basic,hvs-iruka-umino-core-skill-1,hvs-iruka-umino-core-skill-2,hvs-iruka-umino-core-ultimate,hvs-iruka-umino-core-passive,,true,PLAYABLE_DESIGN_BASELINE
ishikawa-core,ishikawa,ishikawa [Core],ishikawa [Core],ishikawa [Core],SOURCE_ERA,SR,FLEX,EARTH,IWAGAKURE,form-ishikawa-first-tsuchikage,hvs-ishikawa-core-basic,hvs-ishikawa-core-skill-1,hvs-ishikawa-core-skill-2,hvs-ishikawa-core-ultimate,hvs-ishikawa-core-passive,,true,PLAYABLE_DESIGN_BASELINE
itachi-akatsuki,itachi-uchiha,Itachi [Akatsuki],Itachi [Akatsuki],Itachi [Akatsuki],AKATSUKI,UR,CONTROL_DPS,MIXED,AKATSUKI,form-itachi-uchiha-akatsuki,hvs-itachi-akatsuki-basic,hvs-itachi-akatsuki-skill-1,hvs-itachi-akatsuki-skill-2,hvs-itachi-akatsuki-ultimate,hvs-itachi-akatsuki-passive,awakening-itachi-akatsuki,true,PLAYABLE_DESIGN_BASELINE
itachi-anbu,itachi-uchiha,Itachi [ANBU],Itachi [ANBU],Itachi [ANBU],ANBU,SR,CONTROL,MIXED,AKATSUKI,form-itachi-uchiha-anbu,hvs-itachi-anbu-basic,hvs-itachi-anbu-skill-1,hvs-itachi-anbu-skill-2,hvs-itachi-anbu-ultimate,hvs-itachi-anbu-passive,awakening-itachi-anbu,true,PLAYABLE_DESIGN_BASELINE
izumo-kamizuki-core,izumo-kamizuki,izumo-kamizuki [Core],izumo-kamizuki [Core],izumo-kamizuki [Core],SOURCE_ERA,SR,FLEX,MIXED,KONOHA,form-izumo-kamizuki-gate-guard,hvs-izumo-kamizuki-core-basic,hvs-izumo-kamizuki-core-skill-1,hvs-izumo-kamizuki-core-skill-2,hvs-izumo-kamizuki-core-ultimate,hvs-izumo-kamizuki-core-passive,,true,PLAYABLE_DESIGN_BASELINE
