skill_id,hero_id,slot,source_technique_id,name_en,name_vi,channel,kind,tags,explicitness,status,research_note
hvs-anko-mitarashi-core-skill-1,anko-mitarashi-core,SKILL_1,snake-sword,Snake Sword,Snake Sword,PHYSICAL,ACTIVE,snake,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from orochimaru/snake-sword; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-anko-mitarashi-core-skill-2,anko-mitarashi-core,SKILL_2,hidden-shadow-snakes,Hidden Shadow Snakes,Hidden Shadow Snakes,CHAKRA,ACTIVE,shadow|snake,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from orochimaru/hidden-shadow-snakes; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-anko-mitarashi-core-ultimate,anko-mitarashi-core,ULTIMATE,white-rage,White Rage,White Rage,CHAKRA,ULTIMATE,burst,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from orochimaru/white-rage; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-anko-mitarashi-core-passive,anko-mitarashi-core,PASSIVE,passive-sage,Passive Sage,Passive Sage,CHAKRA,PASSIVE,sage|passive,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from orochimaru/passive-sage; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-ao-core-basic,ao-core,BASIC,basic-sword,Basic Sword,Basic Sword,PHYSICAL,BASIC,combat,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from water/basic-sword; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-ao-core-skill-1,ao-core,SKILL_1,water-dragon,Water Dragon,Water Dragon,CHAKRA,ACTIVE,water,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from water/water-dragon; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-ao-core-skill-2,ao-core,SKILL_2,mist-assassination,Mist Assassination,Mist Assassination,PHYSICAL,ACTIVE,combat,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from water/mist-assassination; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-ao-core-ultimate,ao-core,ULTIMATE,water-shark-bomb,Water Shark Bomb,Water Shark Bomb,CHAKRA,ULTIMATE,water|burst,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from water/water-shark-bomb; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-ao-core-passive,ao-core,PASSIVE,passive-swordsman,Passive Swordsman,Passive Swordsman,CHAKRA,PASSIVE,passive,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from water/passive-swordsman; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-aoba-yamashiro-core-basic,aoba-yamashiro-core,BASIC,basic-kunai,Basic Kunai,Basic Kunai,PHYSICAL,BASIC,combat,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from genjutsu/basic-kunai; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-aoba-yamashiro-core-skill-1,aoba-yamashiro-core,SKILL_1,genjutsu-eye,Genjutsu Eye,Genjutsu Eye,CHAKRA,ACTIVE,genjutsu,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from genjutsu/genjutsu-eye; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-aoba-yamashiro-core-skill-2,aoba-yamashiro-core,SKILL_2,mind-destruction,Mind Destruction,Mind Destruction,CHAKRA,ACTIVE,mind,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from genjutsu/mind-destruction; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-aoba-yamashiro-core-ultimate,aoba-yamashiro-core,ULTIMATE,illusion-prison,Illusion Prison,Illusion Prison,CHAKRA,ULTIMATE,burst,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from genjutsu/illusion-prison; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-aoba-yamashiro-core-passive,aoba-yamashiro-core,PASSIVE,passive-strategist,Passive Strategist,Passive Strategist,CHAKRA,PASSIVE,passive,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from genjutsu/passive-strategist; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-asuma-sarutobi-core-basic,asuma-sarutobi-core,BASIC,basic-sword,Basic Sword,Basic Sword,PHYSICAL,BASIC,combat,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from swordsman/basic-sword; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-asuma-sarutobi-core-skill-1,asuma-sarutobi-core,SKILL_1,body-flicker,Body Flicker,Body Flicker,PHYSICAL,ACTIVE,combat,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from swordsman/body-flicker; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-asuma-sarutobi-core-skill-2,asuma-sarutobi-core,SKILL_2,chakra-blade,Chakra Blade,Chakra Blade,PHYSICAL,ACTIVE,combat,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from swordsman/chakra-blade; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-asuma-sarutobi-core-ultimate,asuma-sarutobi-core,ULTIMATE,crescent-slash,Crescent Slash,Crescent Slash,PHYSICAL,ACTIVE,combat,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from swordsman/crescent-slash; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-asuma-sarutobi-core-passive,asuma-sarutobi-core,PASSIVE,passive-swordsman,Passive Swordsman,Passive Swordsman,CHAKRA,PASSIVE,passive,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from swordsman/passive-swordsman; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-asura-base-basic,asura-base,BASIC,basic-chakra-palm,Basic Chakra Palm,Basic Chakra Palm,CHAKRA,BASIC,combat,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from naruto-sixpaths/basic-chakra-palm; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-asura-base-skill-1,asura-base,SKILL_1,truth-seeking-orbs,Truth-Seeking Orbs,Truth-Seeking Orbs,CHAKRA,ULTIMATE,burst,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from naruto-sixpaths/truth-seeking-orbs; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-asura-base-skill-2,asura-base,SKILL_2,kurama-claw,Kurama Claw,Kurama Claw,CHAKRA,ACTIVE,combat,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from naruto-sixpaths/kurama-claw; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-asura-base-ultimate,asura-base,ULTIMATE,six-paths-barrage,Six Paths Barrage,Six Paths Barrage,CHAKRA,ULTIMATE,burst,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from naruto-sixpaths/six-paths-barrage; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-asura-base-passive,asura-base,PASSIVE,passive-jinchuriki,Passive Jinchuriki,Passive Jinchuriki,CHAKRA,PASSIVE,jinchuriki|passive,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from naruto-sixpaths/passive-jinchuriki; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-atsui-core-basic,atsui-core,BASIC,basic-sword,Basic Sword,Basic Sword,PHYSICAL,BASIC,combat,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from storm/basic-sword; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-atsui-core-skill-1,atsui-core,SKILL_1,lightning-armor,Lightning Armor,Lightning Armor,CHAKRA,ACTIVE,lightning,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from storm/lightning-armor; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-atsui-core-skill-2,atsui-core,SKILL_2,storm-laser,Storm Laser,Storm Laser,CHAKRA,ACTIVE,combat,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from storm/storm-laser; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-atsui-core-ultimate,atsui-core,ULTIMATE,black-lightning,Black Lightning,Black Lightning,CHAKRA,ULTIMATE,lightning|burst,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from storm/black-lightning; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-atsui-core-passive,atsui-core,PASSIVE,passive-strategist,Passive Strategist,Passive Strategist,CHAKRA,PASSIVE,passive,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from storm/passive-strategist; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-baiu-core-basic,baiu-core,BASIC,basic-sword,Basic Sword,Basic Sword,PHYSICAL,BASIC,combat,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from water/basic-sword; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-baiu-core-skill-1,baiu-core,SKILL_1,water-dragon,Water Dragon,Water Dragon,CHAKRA,ACTIVE,water,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from water/water-dragon; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-baiu-core-skill-2,baiu-core,SKILL_2,mist-assassination,Mist Assassination,Mist Assassination,PHYSICAL,ACTIVE,combat,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from water/mist-assassination; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-baiu-core-ultimate,baiu-core,ULTIMATE,water-shark-bomb,Water Shark Bomb,Water Shark Bomb,CHAKRA,ULTIMATE,water|burst,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from water/water-shark-bomb; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-baiu-core-passive,baiu-core,PASSIVE,passive-swordsman,Passive Swordsman,Passive Swordsman,CHAKRA,PASSIVE,passive,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from water/passive-swordsman; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-baki-core-basic,baki-core,BASIC,basic-kunai,Basic Kunai,Basic Kunai,PHYSICAL,BASIC,combat,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from wind/basic-kunai; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-baki-core-skill-1,baki-core,SKILL_1,wind-scythe,Wind Scythe,Wind Scythe,CHAKRA,ACTIVE,wind,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from wind/wind-scythe; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-baki-core-skill-2,baki-core,SKILL_2,wind-blade,Wind Blade,Wind Blade,CHAKRA,ACTIVE,wind,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from wind/wind-blade; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-baki-core-ultimate,baki-core,ULTIMATE,great-wind-burst,Great Wind Burst,Great Wind Burst,CHAKRA,ULTIMATE,wind|burst,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from wind/great-wind-burst; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-baki-core-passive,baki-core,PASSIVE,passive-strategist,Passive Strategist,Passive Strategist,CHAKRA,PASSIVE,passive,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from wind/passive-strategist; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-black-zetsu-core-basic,black-zetsu-core,BASIC,basic-chakra-palm,Basic Chakra Palm,Basic Chakra Palm,CHAKRA,BASIC,combat,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from obito/basic-chakra-palm; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-black-zetsu-core-skill-1,black-zetsu-core,SKILL_1,kamui-phase,Kamui Phase,Kamui Phase,CHAKRA,ACTIVE,kamui,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from obito/kamui-phase; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-black-zetsu-core-skill-2,black-zetsu-core,SKILL_2,fireball-jutsu,Fireball Jutsu,Fireball Jutsu,CHAKRA,ACTIVE,fire,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from obito/fireball-jutsu; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-black-zetsu-core-ultimate,black-zetsu-core,ULTIMATE,wood-spikes,Wood Spikes,Wood Spikes,CHAKRA,ACTIVE,wood,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from obito/wood-spikes; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-black-zetsu-core-passive,black-zetsu-core,PASSIVE,passive-sharingan,Passive Sharingan,Passive Sharingan,CHAKRA,PASSIVE,passive,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from obito/passive-sharingan; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-blue-b-core-basic,blue-b-core,BASIC,basic-punch,Basic Punch,Basic Punch,PHYSICAL,BASIC,combat,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from jinchuriki/basic-punch; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-blue-b-core-skill-1,blue-b-core,SKILL_1,tailed-cloak,Tailed Cloak,Tailed Cloak,CHAKRA,ACTIVE,combat,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from jinchuriki/tailed-cloak; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-blue-b-core-skill-2,blue-b-core,SKILL_2,kurama-claw,Kurama Claw,Kurama Claw,CHAKRA,ACTIVE,combat,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from jinchuriki/kurama-claw; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-blue-b-core-ultimate,blue-b-core,ULTIMATE,tailed-beast-bomb,Tailed Beast Bomb,Tailed Beast Bomb,CHAKRA,ULTIMATE,burst,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from jinchuriki/tailed-beast-bomb; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-blue-b-core-passive,blue-b-core,PASSIVE,passive-jinchuriki,Passive Jinchuriki,Passive Jinchuriki,CHAKRA,PASSIVE,jinchuriki|passive,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from jinchuriki/passive-jinchuriki; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-bunpuku-core-basic,bunpuku-core,BASIC,basic-punch,Basic Punch,Basic Punch,PHYSICAL,BASIC,combat,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from jinchuriki/basic-punch; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-bunpuku-core-skill-1,bunpuku-core,SKILL_1,tailed-cloak,Tailed Cloak,Tailed Cloak,CHAKRA,ACTIVE,combat,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from jinchuriki/tailed-cloak; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-bunpuku-core-skill-2,bunpuku-core,SKILL_2,kurama-claw,Kurama Claw,Kurama Claw,CHAKRA,ACTIVE,combat,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from jinchuriki/kurama-claw; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-bunpuku-core-ultimate,bunpuku-core,ULTIMATE,tailed-beast-bomb,Tailed Beast Bomb,Tailed Beast Bomb,CHAKRA,ULTIMATE,burst,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from jinchuriki/tailed-beast-bomb; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-bunpuku-core-passive,bunpuku-core,PASSIVE,passive-jinchuriki,Passive Jinchuriki,Passive Jinchuriki,CHAKRA,PASSIVE,jinchuriki|passive,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from jinchuriki/passive-jinchuriki; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-byakuren-core-basic,byakuren-core,BASIC,basic-sword,Basic Sword,Basic Sword,PHYSICAL,BASIC,combat,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from water/basic-sword; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-byakuren-core-skill-1,byakuren-core,SKILL_1,water-dragon,Water Dragon,Water Dragon,CHAKRA,ACTIVE,water,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from water/water-dragon; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-byakuren-core-skill-2,byakuren-core,SKILL_2,mist-assassination,Mist Assassination,Mist Assassination,PHYSICAL,ACTIVE,combat,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from water/mist-assassination; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-byakuren-core-ultimate,byakuren-core,ULTIMATE,water-shark-bomb,Water Shark Bomb,Water Shark Bomb,CHAKRA,ULTIMATE,water|burst,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from water/water-shark-bomb; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-byakuren-core-passive,byakuren-core,PASSIVE,passive-swordsman,Passive Swordsman,Passive Swordsman,CHAKRA,PASSIVE,passive,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from water/passive-swordsman; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-c-core-basic,c-core,BASIC,basic-kunai,Basic Kunai,Basic Kunai,PHYSICAL,BASIC,combat,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from genjutsu/basic-kunai; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-c-core-skill-1,c-core,SKILL_1,genjutsu-eye,Genjutsu Eye,Genjutsu Eye,CHAKRA,ACTIVE,genjutsu,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from genjutsu/genjutsu-eye; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-c-core-skill-2,c-core,SKILL_2,mind-destruction,Mind Destruction,Mind Destruction,CHAKRA,ACTIVE,mind,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from genjutsu/mind-destruction; M47 must tune version-specific mechanics and evidence before final canon parity.
