technique_id,name_en,name_vi,description_en,description_vi,channel,kind,tags,status
passive-jinchuriki,Passive Jinchuriki,Passive Jinchuriki,Persistent passive modifying stats triggers or resources.,Nội tại duy trì để thay đổi chỉ số điều kiện hoặc tài nguyên.,CHAKRA,PASSIVE,jinchuriki|passive,DESIGN_BASELINE
passive-medical,Passive Medical,Passive Medical,Persistent passive modifying stats triggers or resources.,Nội tại duy trì để thay đổi chỉ số điều kiện hoặc tài nguyên.,CHAKRA,PASSIVE,passive,DESIGN_BASELINE
passive-puppet,Passive Puppet,Passive Puppet,Persistent passive modifying stats triggers or resources.,Nội tại duy trì để thay đổi chỉ số điều kiện hoặc tài nguyên.,CHAKRA,PASSIVE,puppet|passive,DESIGN_BASELINE
passive-rinnegan,Passive Rinnegan,Passive Rinnegan,Persistent passive modifying stats triggers or resources.,Nội tại duy trì để thay đổi chỉ số điều kiện hoặc tài nguyên.,CHAKRA,PASSIVE,rinne|passive,DESIGN_BASELINE
passive-sage,Passive Sage,Passive Sage,Persistent passive modifying stats triggers or resources.,Nội tại duy trì để thay đổi chỉ số điều kiện hoặc tài nguyên.,CHAKRA,PASSIVE,sage|passive,DESIGN_BASELINE
passive-sharingan,Passive Sharingan,Passive Sharingan,Persistent passive modifying stats triggers or resources.,Nội tại duy trì để thay đổi chỉ số điều kiện hoặc tài nguyên.,CHAKRA,PASSIVE,passive,DESIGN_BASELINE
passive-strategist,Passive Strategist,Passive Strategist,Persistent passive modifying stats triggers or resources.,Nội tại duy trì để thay đổi chỉ số điều kiện hoặc tài nguyên.,CHAKRA,PASSIVE,passive,DESIGN_BASELINE
passive-swordsman,Passive Swordsman,Passive Swordsman,Persistent passive modifying stats triggers or resources.,Nội tại duy trì để thay đổi chỉ số điều kiện hoặc tài nguyên.,CHAKRA,PASSIVE,passive,DESIGN_BASELINE
passive-will-of-fire,Passive Will Of Fire,Passive Will Of Fire,Persistent passive modifying stats triggers or resources.,Nội tại duy trì để thay đổi chỉ số điều kiện hoặc tài nguyên.,CHAKRA,PASSIVE,fire|passive,DESIGN_BASELINE
perfect-susanoo,Perfect Susanoo,Perfect Susanoo,Active chakra technique with configurable targets and effects.,Kỹ năng chủ động chakra với mục tiêu và hiệu ứng có thể cấu hình.,CHAKRA,ACTIVE,susanoo,DESIGN_BASELINE
planetary-devastation,Planetary Devastation,Planetary Devastation,Signature high-impact chakra technique with cinematic VFX.,Tuyệt kỹ chakra đặc trưng có sức ảnh hưởng lớn và hiệu ứng riêng.,CHAKRA,ULTIMATE,burst,DESIGN_BASELINE
poison-cloud,Poison Cloud,Poison Cloud,Active chakra technique with configurable targets and effects.,Kỹ năng chủ động chakra với mục tiêu và hiệu ứng có thể cấu hình.,CHAKRA,ACTIVE,poison,DESIGN_BASELINE
puppet-needles,Puppet Needles,Puppet Needles,Active physical technique with configurable targets and effects.,Kỹ năng chủ động vật lý với mục tiêu và hiệu ứng có thể cấu hình.,PHYSICAL,ACTIVE,puppet,DESIGN_BASELINE
rasengan,Rasengan,Rasengan,Active chakra technique with configurable targets and effects.,Kỹ năng chủ động chakra với mục tiêu và hiệu ứng có thể cấu hình.,CHAKRA,ACTIVE,combat,DESIGN_BASELINE
rasenshuriken,Rasenshuriken,Rasenshuriken,Signature high-impact chakra technique with cinematic VFX.,Tuyệt kỹ chakra đặc trưng có sức ảnh hưởng lớn và hiệu ứng riêng.,CHAKRA,ULTIMATE,burst,DESIGN_BASELINE
rotation,Rotation,Rotation,Active physical technique with configurable targets and effects.,Kỹ năng chủ động vật lý với mục tiêu và hiệu ứng có thể cấu hình.,PHYSICAL,ACTIVE,combat,DESIGN_BASELINE
sage-frog-kata,Sage Frog Kata,Sage Frog Kata,Active physical technique with configurable targets and effects.,Kỹ năng chủ động vật lý với mục tiêu và hiệu ứng có thể cấu hình.,PHYSICAL,ACTIVE,sage,DESIGN_BASELINE
samehada-fusion,Samehada Fusion,Samehada Fusion,Signature high-impact chakra technique with cinematic VFX.,Tuyệt kỹ chakra đặc trưng có sức ảnh hưởng lớn và hiệu ứng riêng.,CHAKRA,ULTIMATE,burst,DESIGN_BASELINE
samurai-iaido,Samurai Iaido,Samurai Iaido,Signature high-impact physical technique with cinematic VFX.,Tuyệt kỹ vật lý đặc trưng có sức ảnh hưởng lớn và hiệu ứng riêng.,PHYSICAL,ULTIMATE,burst,DESIGN_BASELINE
