awakening_skill_id,hero_id,awakening_id,name_en,name_vi,classification,element,damage_type,target_type,coefficient,chakra_cost,cooldown,effects,statuses,buffs,debuffs,special_mechanic,animation_key,vfx_key,sfx_key,description_en,description_vi,canon_source,canon_confidence,status
awaken-skill-hashirama-hokage,hashirama-hokage,awakening-hashirama-hokage,Sage Hashirama Signature,Tuyệt kỹ Sage Hashirama,AWAKENING_SKILL,CHAKRA,UNRESOLVED_EXPLICIT_DESIGN,UNRESOLVED_EXPLICIT_DESIGN,0,0,0,M47_EXPLICIT_DESIGN_REQUIRED,,,,M47_EXPLICIT_DESIGN_REQUIRED,animation/hashirama-hokage/awakening-skill,vfx/hashirama-hokage/awakening-skill,sfx/hashirama-hokage/awakening-skill,"Reserved sixth skill for Sage Hashirama; final targeting, scaling, counterplay and canon technique selection are intentionally deferred to M47 explicit skill research.","Kỹ năng thứ sáu dành riêng cho Sage Hashirama; mục tiêu, hệ số, khắc chế và kỹ thuật canon cuối cùng sẽ được nghiên cứu/thiết kế rõ ở M47.",https://naruto.fandom.com/wiki/Hashirama_Senju,MANGA_CANON,SCHEMA_BASELINE_NOT_RUNTIME
awaken-skill-indra-base,indra-base,awakening-indra-base,Susanoo Indra Signature,Tuyệt kỹ Susanoo Indra,AWAKENING_SKILL,MIXED,UNRESOLVED_EXPLICIT_DESIGN,UNRESOLVED_EXPLICIT_DESIGN,0,0,0,M47_EXPLICIT_DESIGN_REQUIRED,,,,M47_EXPLICIT_DESIGN_REQUIRED,animation/indra-base/awakening-skill,vfx/indra-base/awakening-skill,sfx/indra-base/awakening-skill,"Reserved sixth skill for Susanoo Indra; final targeting, scaling, counterplay and canon technique selection are intentionally deferred to M47 explicit skill research.","Kỹ năng thứ sáu dành riêng cho Susanoo Indra; mục tiêu, hệ số, khắc chế và kỹ thuật canon cuối cùng sẽ được nghiên cứu/thiết kế rõ ở M47.",https://naruto.fandom.com/wiki/Indra_%C5%8Ctsutsuki,ANIME_CANON,SCHEMA_BASELINE_NOT_RUNTIME
awaken-skill-itachi-akatsuki,itachi-akatsuki,awakening-itachi-akatsuki,Susanoo Itachi Signature,Tuyệt kỹ Susanoo Itachi,AWAKENING_SKILL,MIXED,UNRESOLVED_EXPLICIT_DESIGN,UNRESOLVED_EXPLICIT_DESIGN,0,0,0,M47_EXPLICIT_DESIGN_REQUIRED,,,,M47_EXPLICIT_DESIGN_REQUIRED,animation/itachi-akatsuki/awakening-skill,vfx/itachi-akatsuki/awakening-skill,sfx/itachi-akatsuki/awakening-skill,"Reserved sixth skill for Susanoo Itachi; final targeting, scaling, counterplay and canon technique selection are intentionally deferred to M47 explicit skill research.","Kỹ năng thứ sáu dành riêng cho Susanoo Itachi; mục tiêu, hệ số, khắc chế và kỹ thuật canon cuối cùng sẽ được nghiên cứu/thiết kế rõ ở M47.",https://naruto.fandom.com/wiki/Itachi_Uchiha,MANGA_CANON,SCHEMA_BASELINE_NOT_RUNTIME
awaken-skill-itachi-anbu,itachi-anbu,awakening-itachi-anbu,Mangekyo Itachi Signature,Tuyệt kỹ Mangekyo Itachi,AWAKENING_SKILL,MIXED,UNRESOLVED_EXPLICIT_DESIGN,UNRESOLVED_EXPLICIT_DESIGN,0,0,0,M47_EXPLICIT_DESIGN_REQUIRED,,,,M47_EXPLICIT_DESIGN_REQUIRED,animation/itachi-anbu/awakening-skill,vfx/itachi-anbu/awakening-skill,sfx/itachi-anbu/awakening-skill,"Reserved sixth skill for Mangekyo Itachi; final targeting, scaling, counterplay and canon technique selection are intentionally deferred to M47 explicit skill research.","Kỹ năng thứ sáu dành riêng cho Mangekyo Itachi; mục tiêu, hệ số, khắc chế và kỹ thuật canon cuối cùng sẽ được nghiên cứu/thiết kế rõ ở M47.",https://naruto.fandom.com/wiki/Itachi_Uchiha,MANGA_CANON,SCHEMA_BASELINE_NOT_RUNTIME
awaken-skill-izuna-uchiha-core,izuna-uchiha-core,awakening-izuna-uchiha-core,Mangekyo Sharingan Signature,Tuyệt kỹ Mangekyo Sharingan,AWAKENING_SKILL,MIXED,UNRESOLVED_EXPLICIT_DESIGN,UNRESOLVED_EXPLICIT_DESIGN,0,0,0,M47_EXPLICIT_DESIGN_REQUIRED,,,,M47_EXPLICIT_DESIGN_REQUIRED,animation/izuna-uchiha-core/awakening-skill,vfx/izuna-uchiha-core/awakening-skill,sfx/izuna-uchiha-core/awakening-skill,"Reserved sixth skill for Mangekyo Sharingan; final targeting, scaling, counterplay and canon technique selection are intentionally deferred to M47 explicit skill research.","Kỹ năng thứ sáu dành riêng cho Mangekyo Sharingan; mục tiêu, hệ số, khắc chế và kỹ thuật canon cuối cùng sẽ được nghiên cứu/thiết kế rõ ở M47.",current variant census; current kit seed=sasuke,DESIGN_INTERPRETATION,SCHEMA_BASELINE_NOT_RUNTIME
awaken-skill-jirobo-base,jirobo-base,awakening-jirobo-base,Curse Mark Level 2 Signature,Tuyệt kỹ Curse Mark Level 2,AWAKENING_SKILL,MIXED,UNRESOLVED_EXPLICIT_DESIGN,UNRESOLVED_EXPLICIT_DESIGN,0,0,0,M47_EXPLICIT_DESIGN_REQUIRED,,,,M47_EXPLICIT_DESIGN_REQUIRED,animation/jirobo-base/awakening-skill,vfx/jirobo-base/awakening-skill,sfx/jirobo-base/awakening-skill,"Reserved sixth skill for Curse Mark Level 2; final targeting, scaling, counterplay and canon technique selection are intentionally deferred to M47 explicit skill research.","Kỹ năng thứ sáu dành riêng cho Curse Mark Level 2; mục tiêu, hệ số, khắc chế và kỹ thuật canon cuối cùng sẽ được nghiên cứu/thiết kế rõ ở M47.",https://naruto.fandom.com/wiki/Cursed_Seal,MANGA_CANON,SCHEMA_BASELINE_NOT_RUNTIME
awaken-skill-jugo-base,jugo-base,awakening-jugo-base,Sage Transformation Signature,Tuyệt kỹ Sage Transformation,AWAKENING_SKILL,MIXED,UNRESOLVED_EXPLICIT_DESIGN,UNRESOLVED_EXPLICIT_DESIGN,0,0,0,M47_EXPLICIT_DESIGN_REQUIRED,,,,M47_EXPLICIT_DESIGN_REQUIRED,animation/jugo-base/awakening-skill,vfx/jugo-base/awakening-skill,sfx/jugo-base/awakening-skill,"Reserved sixth skill for Sage Transformation; final targeting, scaling, counterplay and canon technique selection are intentionally deferred to M47 explicit skill research.","Kỹ năng thứ sáu dành riêng cho Sage Transformation; mục tiêu, hệ số, khắc chế và kỹ thuật canon cuối cùng sẽ được nghiên cứu/thiết kế rõ ở M47.",https://naruto.fandom.com/wiki/J%C5%ABgo,MANGA_CANON,SCHEMA_BASELINE_NOT_RUNTIME
awaken-skill-kabuto-shippuden,kabuto-shippuden,awakening-kabuto-shippuden,Snake Sage Kabuto Signature,Tuyệt kỹ Snake Sage Kabuto,AWAKENING_SKILL,CHAKRA,UNRESOLVED_EXPLICIT_DESIGN,UNRESOLVED_EXPLICIT_DESIGN,0,0,0,M47_EXPLICIT_DESIGN_REQUIRED,,,,M47_EXPLICIT_DESIGN_REQUIRED,animation/kabuto-shippuden/awakening-skill,vfx/kabuto-shippuden/awakening-skill,sfx/kabuto-shippuden/awakening-skill,"Reserved sixth skill for Snake Sage Kabuto; final targeting, scaling, counterplay and canon technique selection are intentionally deferred to M47 explicit skill research.","Kỹ năng thứ sáu dành riêng cho Snake Sage Kabuto; mục tiêu, hệ số, khắc chế và kỹ thuật canon cuối cùng sẽ được nghiên cứu/thiết kế rõ ở M47.",https://naruto.fandom.com/wiki/Kabuto_Yakushi,MANGA_CANON,SCHEMA_BASELINE_NOT_RUNTIME
awaken-skill-kaguya-base,kaguya-base,awakening-kaguya-base,Rabbit Goddess Signature,Tuyệt kỹ Rabbit Goddess,AWAKENING_SKILL,CHAKRA,UNRESOLVED_EXPLICIT_DESIGN,UNRESOLVED_EXPLICIT_DESIGN,0,0,0,M47_EXPLICIT_DESIGN_REQUIRED,,,,M47_EXPLICIT_DESIGN_REQUIRED,animation/kaguya-base/awakening-skill,vfx/kaguya-base/awakening-skill,sfx/kaguya-base/awakening-skill,"Reserved sixth skill for Rabbit Goddess; final targeting, scaling, counterplay and canon technique selection are intentionally deferred to M47 explicit skill research.","Kỹ năng thứ sáu dành riêng cho Rabbit Goddess; mục tiêu, hệ số, khắc chế và kỹ thuật canon cuối cùng sẽ được nghiên cứu/thiết kế rõ ở M47.",https://naruto.fandom.com/wiki/Kaguya_%C5%8Ctsutsuki,MANGA_CANON,SCHEMA_BASELINE_NOT_RUNTIME
awaken-skill-kakashi-war,kakashi-war,awakening-kakashi-war,Double Mangekyo Kakashi Signature,Tuyệt kỹ Double Mangekyo Kakashi,AWAKENING_SKILL,MIXED,UNRESOLVED_EXPLICIT_DESIGN,UNRESOLVED_EXPLICIT_DESIGN,0,0,0,M47_EXPLICIT_DESIGN_REQUIRED,,,,M47_EXPLICIT_DESIGN_REQUIRED,animation/kakashi-war/awakening-skill,vfx/kakashi-war/awakening-skill,sfx/kakashi-war/awakening-skill,"Reserved sixth skill for Double Mangekyo Kakashi; final targeting, scaling, counterplay and canon technique selection are intentionally deferred to M47 explicit skill research.","Kỹ năng thứ sáu dành riêng cho Double Mangekyo Kakashi; mục tiêu, hệ số, khắc chế và kỹ thuật canon cuối cùng sẽ được nghiên cứu/thiết kế rõ ở M47.",https://naruto.fandom.com/wiki/Kakashi_Hatake,MANGA_CANON,SCHEMA_BASELINE_NOT_RUNTIME
awaken-skill-kakashi-young,kakashi-young,awakening-kakashi-young,Sharingan Kakashi Signature,Tuyệt kỹ Sharingan Kakashi,AWAKENING_SKILL,MIXED,UNRESOLVED_EXPLICIT_DESIGN,UNRESOLVED_EXPLICIT_DESIGN,0,0,0,M47_EXPLICIT_DESIGN_REQUIRED,,,,M47_EXPLICIT_DESIGN_REQUIRED,animation/kakashi-young/awakening-skill,vfx/kakashi-young/awakening-skill,sfx/kakashi-young/awakening-skill,"Reserved sixth skill for Sharingan Kakashi; final targeting, scaling, counterplay and canon technique selection are intentionally deferred to M47 explicit skill research.","Kỹ năng thứ sáu dành riêng cho Sharingan Kakashi; mục tiêu, hệ số, khắc chế và kỹ thuật canon cuối cùng sẽ được nghiên cứu/thiết kế rõ ở M47.",https://naruto.fandom.com/wiki/Kakashi_Hatake,MANGA_CANON,SCHEMA_BASELINE_NOT_RUNTIME
awaken-skill-kakuzu-akatsuki,kakuzu-akatsuki,awakening-kakuzu-akatsuki,Earth Grudge Fear Released Signature,Tuyệt kỹ Earth Grudge Fear Released,AWAKENING_SKILL,MIXED,UNRESOLVED_EXPLICIT_DESIGN,UNRESOLVED_EXPLICIT_DESIGN,0,0,0,M47_EXPLICIT_DESIGN_REQUIRED,,,,M47_EXPLICIT_DESIGN_REQUIRED,animation/kakuzu-akatsuki/awakening-skill,vfx/kakuzu-akatsuki/awakening-skill,sfx/kakuzu-akatsuki/awakening-skill,"Reserved sixth skill for Earth Grudge Fear Released; final targeting, scaling, counterplay and canon technique selection are intentionally deferred to M47 explicit skill research.","Kỹ năng thứ sáu dành riêng cho Earth Grudge Fear Released; mục tiêu, hệ số, khắc chế và kỹ thuật canon cuối cùng sẽ được nghiên cứu/thiết kế rõ ở M47.",https://naruto.fandom.com/wiki/Kakuzu,MANGA_CANON,SCHEMA_BASELINE_NOT_RUNTIME
awaken-skill-kidomaru-base,kidomaru-base,awakening-kidomaru-base,Curse Mark Level 2 Signature,Tuyệt kỹ Curse Mark Level 2,AWAKENING_SKILL,MIXED,UNRESOLVED_EXPLICIT_DESIGN,UNRESOLVED_EXPLICIT_DESIGN,0,0,0,M47_EXPLICIT_DESIGN_REQUIRED,,,,M47_EXPLICIT_DESIGN_REQUIRED,animation/kidomaru-base/awakening-skill,vfx/kidomaru-base/awakening-skill,sfx/kidomaru-base/awakening-skill,"Reserved sixth skill for Curse Mark Level 2; final targeting, scaling, counterplay and canon technique selection are intentionally deferred to M47 explicit skill research.","Kỹ năng thứ sáu dành riêng cho Curse Mark Level 2; mục tiêu, hệ số, khắc chế và kỹ thuật canon cuối cùng sẽ được nghiên cứu/thiết kế rõ ở M47.",https://naruto.fandom.com/wiki/Cursed_Seal,MANGA_CANON,SCHEMA_BASELINE_NOT_RUNTIME
awaken-skill-killer-b-base,killer-b-base,awakening-killer-b-base,Eight-Tails Cloak Signature,Tuyệt kỹ Eight-Tails Cloak,AWAKENING_SKILL,MIXED,UNRESOLVED_EXPLICIT_DESIGN,UNRESOLVED_EXPLICIT_DESIGN,0,0,0,M47_EXPLICIT_DESIGN_REQUIRED,,,,M47_EXPLICIT_DESIGN_REQUIRED,animation/killer-b-base/awakening-skill,vfx/killer-b-base/awakening-skill,sfx/killer-b-base/awakening-skill,"Reserved sixth skill for Eight-Tails Cloak; final targeting, scaling, counterplay and canon technique selection are intentionally deferred to M47 explicit skill research.","Kỹ năng thứ sáu dành riêng cho Eight-Tails Cloak; mục tiêu, hệ số, khắc chế và kỹ thuật canon cuối cùng sẽ được nghiên cứu/thiết kế rõ ở M47.",https://naruto.fandom.com/wiki/Jinch%C5%ABriki_Forms,MANGA_CANON,SCHEMA_BASELINE_NOT_RUNTIME
awaken-skill-kimimaro-base,kimimaro-base,awakening-kimimaro-base,Curse Mark Level 2 Signature,Tuyệt kỹ Curse Mark Level 2,AWAKENING_SKILL,MIXED,UNRESOLVED_EXPLICIT_DESIGN,UNRESOLVED_EXPLICIT_DESIGN,0,0,0,M47_EXPLICIT_DESIGN_REQUIRED,,,,M47_EXPLICIT_DESIGN_REQUIRED,animation/kimimaro-base/awakening-skill,vfx/kimimaro-base/awakening-skill,sfx/kimimaro-base/awakening-skill,"Reserved sixth skill for Curse Mark Level 2; final targeting, scaling, counterplay and canon technique selection are intentionally deferred to M47 explicit skill research.","Kỹ năng thứ sáu dành riêng cho Curse Mark Level 2; mục tiêu, hệ số, khắc chế và kỹ thuật canon cuối cùng sẽ được nghiên cứu/thiết kế rõ ở M47.",https://naruto.fandom.com/wiki/Kimimaro,MANGA_CANON,SCHEMA_BASELINE_NOT_RUNTIME
awaken-skill-kinkaku-base,kinkaku-base,awakening-kinkaku-base,Nine-Tails Cloak Signature,Tuyệt kỹ Nine-Tails Cloak,AWAKENING_SKILL,MIXED,UNRESOLVED_EXPLICIT_DESIGN,UNRESOLVED_EXPLICIT_DESIGN,0,0,0,M47_EXPLICIT_DESIGN_REQUIRED,,,,M47_EXPLICIT_DESIGN_REQUIRED,animation/kinkaku-base/awakening-skill,vfx/kinkaku-base/awakening-skill,sfx/kinkaku-base/awakening-skill,"Reserved sixth skill for Nine-Tails Cloak; final targeting, scaling, counterplay and canon technique selection are intentionally deferred to M47 explicit skill research.","Kỹ năng thứ sáu dành riêng cho Nine-Tails Cloak; mục tiêu, hệ số, khắc chế và kỹ thuật canon cuối cùng sẽ được nghiên cứu/thiết kế rõ ở M47.",https://naruto.fandom.com/wiki/Kinkaku,MANGA_CANON,SCHEMA_BASELINE_NOT_RUNTIME
awaken-skill-kisame-akatsuki,kisame-akatsuki,awakening-kisame-akatsuki,Samehada Fusion Signature,Tuyệt kỹ Samehada Fusion,AWAKENING_SKILL,MIXED,UNRESOLVED_EXPLICIT_DESIGN,UNRESOLVED_EXPLICIT_DESIGN,0,0,0,M47_EXPLICIT_DESIGN_REQUIRED,,,,M47_EXPLICIT_DESIGN_REQUIRED,animation/kisame-akatsuki/awakening-skill,vfx/kisame-akatsuki/awakening-skill,sfx/kisame-akatsuki/awakening-skill,"Reserved sixth skill for Samehada Fusion; final targeting, scaling, counterplay and canon technique selection are intentionally deferred to M47 explicit skill research.","Kỹ năng thứ sáu dành riêng cho Samehada Fusion; mục tiêu, hệ số, khắc chế và kỹ thuật canon cuối cùng sẽ được nghiên cứu/thiết kế rõ ở M47.",https://naruto.fandom.com/wiki/Kisame_Hoshigaki,MANGA_CANON,SCHEMA_BASELINE_NOT_RUNTIME
awaken-skill-konan-akatsuki,konan-akatsuki,awakening-konan-akatsuki,Paper Angel Konan Signature,Tuyệt kỹ Paper Angel Konan,AWAKENING_SKILL,MIXED,UNRESOLVED_EXPLICIT_DESIGN,UNRESOLVED_EXPLICIT_DESIGN,0,0,0,M47_EXPLICIT_DESIGN_REQUIRED,,,,M47_EXPLICIT_DESIGN_REQUIRED,animation/konan-akatsuki/awakening-skill,vfx/konan-akatsuki/awakening-skill,sfx/konan-akatsuki/awakening-skill,"Reserved sixth skill for Paper Angel Konan; final targeting, scaling, counterplay and canon technique selection are intentionally deferred to M47 explicit skill research.","Kỹ năng thứ sáu dành riêng cho Paper Angel Konan; mục tiêu, hệ số, khắc chế và kỹ thuật canon cuối cùng sẽ được nghiên cứu/thiết kế rõ ở M47.",https://naruto.fandom.com/wiki/Konan,MANGA_CANON,SCHEMA_BASELINE_NOT_RUNTIME
awaken-skill-madara-rinnegan,madara-rinnegan,awakening-madara-rinnegan,Ten-Tails Madara Signature,Tuyệt kỹ Ten-Tails Madara,AWAKENING_SKILL,CHAKRA,UNRESOLVED_EXPLICIT_DESIGN,UNRESOLVED_EXPLICIT_DESIGN,0,0,0,M47_EXPLICIT_DESIGN_REQUIRED,,,,M47_EXPLICIT_DESIGN_REQUIRED,animation/madara-rinnegan/awakening-skill,vfx/madara-rinnegan/awakening-skill,sfx/madara-rinnegan/awakening-skill,"Reserved sixth skill for Ten-Tails Madara; final targeting, scaling, counterplay and canon technique selection are intentionally deferred to M47 explicit skill research.","Kỹ năng thứ sáu dành riêng cho Ten-Tails Madara; mục tiêu, hệ số, khắc chế và kỹ thuật canon cuối cùng sẽ được nghiên cứu/thiết kế rõ ở M47.",https://naruto.fandom.com/wiki/Madara_Uchiha,MANGA_CANON,SCHEMA_BASELINE_NOT_RUNTIME
