technique_id,effect_index,effect_type,target_selector,channel,coefficient_bps,flat_amount,status_id,chance_bps,duration_ms,tick_interval_ms,profile_id,status,evidence_ref,notes
healing-jutsu,1,HEAL,LOWEST_HP_ALLY,CHAKRA,11000,0,,10000,0,0,experimental-technique-mapping-v1,EXPERIMENTAL_RUNTIME,,Focused ally heal
kamui,1,DAMAGE,LOWEST_HP_ENEMY,CHAKRA,17000,0,,10000,0,0,experimental-technique-mapping-v1,EXPERIMENTAL_RUNTIME,,High-value space-time finisher
kamui-phase,1,STATUS,SELF,CHAKRA,4500,0,DEF_UP,10000,4000,0,experimental-technique-mapping-v1,EXPERIMENTAL_RUNTIME,,Brief phasing defense window
katsuyu-heal,1,HEAL,ALL_ALLIES,CHAKRA,8500,0,,10000,0,0,experimental-technique-mapping-v1,EXPERIMENTAL_RUNTIME,,Team sustain
katsuyu-heal,2,CLEANSE,ALL_ALLIES,,0,0,,10000,0,0,experimental-technique-mapping-v1,EXPERIMENTAL_RUNTIME,,Team cleanse
lightning-armor,1,STATUS,SELF,PHYSICAL,3200,0,SPEED_UP,10000,8000,0,experimental-technique-mapping-v1,EXPERIMENTAL_RUNTIME,,Eight-second lightning speed window
lightning-armor,2,STATUS,SELF,PHYSICAL,3000,0,DEF_UP,10000,8000,0,experimental-technique-mapping-v1,EXPERIMENTAL_RUNTIME,,Eight-second lightning defense window
mass-healing,1,HEAL,ALL_ALLIES,CHAKRA,13000,0,,10000,0,0,experimental-technique-mapping-v1,EXPERIMENTAL_RUNTIME,,Large team heal
mass-healing,2,CLEANSE,ALL_ALLIES,,0,0,,10000,0,0,experimental-technique-mapping-v1,EXPERIMENTAL_RUNTIME,,Large team cleanse
mind-destruction,1,DAMAGE,FRONTMOST_ENEMY,CHAKRA,7000,0,,10000,0,0,experimental-technique-mapping-v1,EXPERIMENTAL_RUNTIME,,Mind pressure hit
mind-destruction,2,STATUS,FRONTMOST_ENEMY,CHAKRA,0,0,SILENCE,8000,3000,0,experimental-technique-mapping-v1,EXPERIMENTAL_RUNTIME,,Three-second skill lock without blocking basics
particle-dismantle,1,DAMAGE,ALL_ENEMIES,CHAKRA,15000,0,,10000,0,0,experimental-technique-mapping-v1,EXPERIMENTAL_RUNTIME,,Particle Style area burst
poison-cloud,1,DAMAGE,ALL_ENEMIES,CHAKRA,5000,0,,10000,0,0,experimental-technique-mapping-v1,EXPERIMENTAL_RUNTIME,,Poison cloud impact
poison-cloud,2,STATUS,ALL_ENEMIES,CHAKRA,2500,0,POISON,10000,6000,1000,experimental-technique-mapping-v1,EXPERIMENTAL_RUNTIME,,Six-second poison cloud with one-second ticks
rasengan,1,DAMAGE,FRONTMOST_ENEMY,CHAKRA,14000,0,,10000,0,0,experimental-technique-mapping-v1,EXPERIMENTAL_RUNTIME,,Signature single-target chakra burst
sand-coffin,1,DAMAGE,LOWEST_HP_ENEMY,CHAKRA,7500,0,,10000,0,0,experimental-technique-mapping-v1,EXPERIMENTAL_RUNTIME,,Sand bind impact
sand-coffin,2,STATUS,LOWEST_HP_ENEMY,CHAKRA,0,0,STUN,9000,1800,0,experimental-technique-mapping-v1,EXPERIMENTAL_RUNTIME,,Short bind preserves counterplay
sand-shield,1,SHIELD,SELF,CHAKRA,12000,0,,10000,0,0,experimental-technique-mapping-v1,EXPERIMENTAL_RUNTIME,,Defensive identity
sand-shield,2,STATUS,SELF,CHAKRA,1800,0,DEF_UP,10000,5000,0,experimental-technique-mapping-v1,EXPERIMENTAL_RUNTIME,,Five-second sand defense window
shadow-neck-bind,1,DAMAGE,FRONTMOST_ENEMY,PHYSICAL,8500,0,,10000,0,0,experimental-technique-mapping-v1,EXPERIMENTAL_RUNTIME,,Shadow bind strike
shadow-neck-bind,2,STATUS,FRONTMOST_ENEMY,CHAKRA,0,0,STUN,8500,2000,0,experimental-technique-mapping-v1,EXPERIMENTAL_RUNTIME,,Two-second control window
shadow-possession,1,STATUS,FRONTMOST_ENEMY,CHAKRA,0,0,STUN,10000,2500,0,experimental-technique-mapping-v1,EXPERIMENTAL_RUNTIME,,Signature 2.5-second immobilization
summoning-gamabunta,1,DAMAGE,ALL_ENEMIES,PHYSICAL,15500,0,,10000,0,0,experimental-technique-mapping-v1,EXPERIMENTAL_RUNTIME,,Large summon impact
tailed-cloak,1,STATUS,SELF,CHAKRA,4000,0,ATK_UP,10000,10000,0,experimental-technique-mapping-v1,EXPERIMENTAL_RUNTIME,,Ten-second temporary cloak power window
tsukuyomi,1,DAMAGE,LOWEST_HP_ENEMY,CHAKRA,12000,0,,10000,0,0,experimental-technique-mapping-v1,EXPERIMENTAL_RUNTIME,,Genjutsu burst
tsukuyomi,2,STATUS,LOWEST_HP_ENEMY,CHAKRA,0,0,STUN,10000,3000,0,experimental-technique-mapping-v1,EXPERIMENTAL_RUNTIME,,Three-second high-value genjutsu control
weight-control,1,STATUS,ALL_ENEMIES,CHAKRA,2200,0,SPEED_DOWN,9000,6000,0,experimental-technique-mapping-v1,EXPERIMENTAL_RUNTIME,,Six-second battlefield slow
white-rage,1,DAMAGE,ALL_ENEMIES,CHAKRA,11500,0,,10000,0,0,experimental-technique-mapping-v1,EXPERIMENTAL_RUNTIME,,Wide sensory burst
white-rage,2,STATUS,ALL_ENEMIES,CHAKRA,0,0,STUN,8500,1500,0,experimental-technique-mapping-v1,EXPERIMENTAL_RUNTIME,,Short AoE control for counterplay
